ID	Name	Equation	Definition	Genes
rxn06098_c0	Phosphatidylcholine:sterol O-acyltransferase_c0	(1) cpd00301[c0] + (1) cpd11624[c0] <=> (1) cpd02601[c0] + (1) cpd11979[c0]	(1) Sterol[c0] + (1) Lecithin[c0] <=> (1) 2-Lysolecithin[c0] + (1) Steryl ester[c0]	fig|1185660.4.peg.1114
rxn00555_c0	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)_c0	(1) cpd00053[c0] + (1) cpd00072[c0] <=> (1) cpd00023[c0] + (1) cpd00288[c0]	(1) L-Glutamine[c0] + (1) D-fructose-6-phosphate[c0] <=> (1) L-Glutamate[c0] + (1) D-Glucosamine phosphate[c0]	fig|1185660.4.peg.3708
rxn03282_c0	R04805_c0	(1) cpd00003[c0] + (1) cpd03227[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03228[c0]	(1) NAD[c0] + (1) 5beta-Cholestane-3alpha,7alpha,26-triol[c0] <=> (1) NADH[c0] + (1) H+[c0] + (1) 3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al[c0]	(fig|1185660.4.peg.2389 or fig|1185660.4.peg.3115 or fig|1185660.4.peg.3035 or fig|1185660.4.peg.180 or fig|1185660.4.peg.29)
rxn03435_c0	(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing)_c0	(1) cpd00006[c0] + (1) cpd02535[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd10162[c0]	(1) NADP[c0] + (1) 2,3-Dihydroxy-3-methylvalerate[c0] <=> (1) NADPH[c0] + (1) H+[c0] + (1) (R)-3-Hydroxy-3-methyl-2-oxopentanoate[c0]	(fig|1185660.4.peg.3280 or fig|1185660.4.peg.3280)
rxn03080_c0	5-amino-6-(D-ribitylamino)uracil butanedionetransferase_c0	(1) cpd02882[c0] + (1) cpd11225[c0] <=> (2) cpd00001[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd02656[c0]	(1) 4--1-D-Ribitylamino-5-aminouracil[c0] + (1) 3-4-dihydroxy-2-butanone4-phosphate[c0] <=> (2) H2O[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) 6-7-Dimethyl-8--1-D-ribityllumazine[c0]	fig|1185660.4.peg.779
rxn10237_c0	isohexadecanoyl-phosphatidylserine decarboxylase_c0	(2) cpd00067[c0] + (1) cpd15694[c0] <=> (1) cpd00011[c0] + (1) cpd15700[c0]	(2) H+[c0] + (1) Diisohexadecanoylphosphatidylserine[c0] <=> (1) CO2[c0] + (1) Diisohexadecanoylphosphatidylethanolamine[c0]	fig|1185660.4.peg.2635
rxn09158_c0	Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15535[c0] <=> (1) cpd00067[c0] + (1) cpd01741[c0] + (1) cpd15318[c0]	(1) H2O[c0] + (1) Phosphatidylglycerol didodecanoyl[c0] <=> (1) H+[c0] + (1) ddca[c0] + (1) 1-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl[c0]	fig|1185660.4.peg.1329
rxn01044_c0	D-xylose aldose-ketose-isomerase_c0	(1) cpd00154[c0] <=> (1) cpd00259[c0]	(1) Xylose[c0] <=> (1) D-Lyxulose[c0]	((fig|1185660.4.peg.4064 or fig|1185660.4.peg.1816) or fig|1185660.4.peg.1829)
rxn10011_c0	acyl-CoA dehydrogenase (octanoyl-CoA)_c0	(1) cpd00003[c0] + (1) cpd01335[c0] <= (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd03130[c0]	(1) NAD[c0] + (1) Octanoyl-CoA[c0] <= (1) NADH[c0] + (1) H+[c0] + (1) (2E)-Octenoyl-CoA[c0]	fig|1185660.4.peg.2776
rxn12644_c0	methionyl aminopeptidase_c0	(1) cpd00001[c0] + (1) cpd11582[c0] <=> (1) cpd00035[c0] + (1) cpd00161[c0]	(1) H2O[c0] + (1) ala-L-Thr-L[c0] <=> (1) L-Alanine[c0] + (1) L-Threonine[c0]	((fig|1185660.4.peg.3572 or fig|1185660.4.peg.1672) or fig|1185660.4.peg.3472 or fig|1185660.4.peg.3347 or fig|1185660.4.peg.231 or fig|1185660.4.peg.3858 or fig|1185660.4.peg.231)
rxn00147_c0	ATP:pyruvate,water phosphotransferase_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00020[c0] => (1) cpd00009[c0] + (1) cpd00018[c0] + (1) cpd00061[c0] + (3) cpd00067[c0]	(1) H2O[c0] + (1) ATP[c0] + (1) Pyruvate[c0] => (1) Phosphate[c0] + (1) AMP[c0] + (1) Phosphoenolpyruvate[c0] + (3) H+[c0]	fig|1185660.4.peg.2361
rxn00737_c0	L-threonine ammonia-lyase (2-oxobutanoate-forming)_c0	(1) cpd00161[c0] => (1) cpd00013[c0] + (1) cpd00094[c0]	(1) L-Threonine[c0] => (1) NH3[c0] + (1) 2-Oxobutyrate[c0]	(fig|1185660.4.peg.1107 or fig|1185660.4.peg.3283)
rxn08843_c0	Lysophospholipase L2 (2-acylglycerophosphoethanolamine, n-C18:0)_c0	(1) cpd00001[c0] + (1) cpd15341[c0] <=> (1) cpd00067[c0] + (1) cpd00908[c0] + (1) cpd01080[c0]	(1) H2O[c0] + (1) 2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)[c0] <=> (1) H+[c0] + (1) Glycerophosphoethanolamine[c0] + (1) ocdca[c0]	fig|1185660.4.peg.477
rxn04723_c0	R06914_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd09790[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd09791[c0]	(1) H2O[c0] + (1) NAD[c0] + (1) 3-Methylsalicylaldehyde[c0] <=> (1) NADH[c0] + (2) H+[c0] + (1) 3-Methylsalicylate[c0]	fig|1185660.4.peg.2630
rxn01256_c0	Chorismate pyruvatemutase_c0	(1) cpd00216[c0] => (1) cpd00219[c0]	(1) Chorismate[c0] => (1) Prephenate[c0]	fig|1185660.4.peg.3719
rxn00213_c0	UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0	(1) cpd00062[c0] + (1) cpd00089[c0] <=> (1) cpd00012[c0] + (1) cpd00026[c0]	(1) UTP[c0] + (1) Glucose-1-phosphate[c0] <=> (1) PPi[c0] + (1) UDP-glucose[c0]	fig|1185660.4.peg.2398
rxn05199_c0	Uridine permease_c0	(1) cpd00067[e0] + (1) cpd00249[e0] <=> (1) cpd00067[c0] + (1) cpd00249[c0]	(1) H+[e0] + (1) Uridine[e0] <=> (1) H+[c0] + (1) Uridine[c0]	fig|1185660.4.peg.866
rxn09161_c0	Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15538[c0] <=> (1) cpd00067[c0] + (1) cpd00214[c0] + (1) cpd15321[c0]	(1) H2O[c0] + (1) Phosphatidylglycerol dihexadecanoyl[c0] <=> (1) H+[c0] + (1) Palmitate[c0] + (1) 1-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl[c0]	fig|1185660.4.peg.1329
rxn10162_c0	Hexadecanoate transport via proton symport_c0	(1) cpd00067[e0] + (1) cpd00214[e0] <=> (1) cpd00067[c0] + (1) cpd00214[c0]	(1) H+[e0] + (1) Palmitate[e0] <=> (1) H+[c0] + (1) Palmitate[c0]	fig|1185660.4.peg.14
rxn01629_c0	(S)-4-Amino-5-oxopentanoate 4,5-aminomutase_c0	(1) cpd00338[c0] <=> (1) cpd02345[c0]	(1) 5-Aminolevulinate[c0] <=> (1) L-Glutamate1-semialdehyde[c0]	(fig|1185660.4.peg.3247 or fig|1185660.4.peg.4083)
rxn00777_c0	D-ribose-5-phosphate aldose-ketose-isomerase_c0	(1) cpd00101[c0] <=> (1) cpd00171[c0]	(1) ribose-5-phosphate[c0] <=> (1) D-Ribulose5-phosphate[c0]	fig|1185660.4.peg.3241
rxn13784_c0	RNA transcription_c0	 => (1) cpd17043[c0]	 => (1) RNA transcription[c0]	(Unknown and fig|1185660.4.peg.3581 and fig|1185660.4.peg.1556 and fig|1185660.4.peg.4540 and Unknown and fig|1185660.4.peg.84 and fig|1185660.4.peg.991 and Unknown and fig|1185660.4.peg.749 and fig|1185660.4.peg.2596 and Unknown and fig|1185660.4.peg.990 and fig|1185660.4.peg.1024)
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase_c0	(1) cpd00006[c0] + (1) cpd00383[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd01716[c0]	(1) NADP[c0] + (1) Shikimate[c0] <=> (1) NADPH[c0] + (1) H+[c0] + (1) 3-Dehydroshikimate[c0]	fig|1185660.4.peg.4204
rxn00190_c0	Deamido-NAD+:L-glutamine amido-ligase (AMP-forming)_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00053[c0] + (1) cpd00638[c0] => (1) cpd00003[c0] + (1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd00023[c0] + (2) cpd00067[c0]	(1) H2O[c0] + (1) ATP[c0] + (1) L-Glutamine[c0] + (1) Deamido-NAD[c0] => (1) NAD[c0] + (1) PPi[c0] + (1) AMP[c0] + (1) L-Glutamate[c0] + (2) H+[c0]	fig|1185660.4.peg.4569
rxn05205_c0	Transport of deoxycytidine, extracellular_c0	(1) cpd00067[e0] + (1) cpd00654[e0] <=> (1) cpd00067[c0] + (1) cpd00654[c0]	(1) H+[e0] + (1) Deoxycytidine[e0] <=> (1) H+[c0] + (1) Deoxycytidine[c0]	fig|1185660.4.peg.866
rxn01013_c0	D-Glycerate:NADP+ 2-oxidoreductase_c0	(1) cpd00006[c0] + (1) cpd00223[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00145[c0]	(1) NADP[c0] + (1) Glycerate[c0] <=> (1) NADPH[c0] + (1) H+[c0] + (1) Hydroxypyruvate[c0]	(fig|1185660.4.peg.2631 or fig|1185660.4.peg.2631)
rxn05948_c0	L-amino-aicd:NAD+ oxidoreductase (deaminating)_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd11623[c0] <=> (1) cpd00004[c0] + (1) cpd00013[c0] + (1) cpd11625[c0]	(1) H2O[c0] + (1) NAD[c0] + (1) L-Amino acid[c0] <=> (1) NADH[c0] + (1) NH3[c0] + (1) 2-Oxo acid[c0]	fig|1185660.4.peg.1583
rxn05655_c0	sucrose transport via PEP:Pyr PTS_c0	(1) cpd00061[c0] + (1) cpd00076[e0] <=> (1) cpd00020[c0] + (1) cpd01693[c0]	(1) Phosphoenolpyruvate[c0] + (1) Sucrose[e0] <=> (1) Pyruvate[c0] + (1) 6-Phosphosucrose[c0]	(Unknown and Unknown and (fig|1185660.4.peg.2706 or fig|1185660.4.peg.2139) and Unknown)
rxn02314_c0	ATP:D-tagatose-6-phosphate 1-phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00805[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02371[c0]	(1) ATP[c0] + (1) D-Tagatose 6-phosphate[c0] <=> (1) ADP[c0] + (1) H+[c0] + (1) D-Tagatose 1,6-biphosphate[c0]	((fig|1185660.4.peg.2140 and Unknown) or fig|1185660.4.peg.3266)
rxn08801_c0	Lysophospholipase L1 (2-acylglycerophosphotidate, n-C18:0) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15329[c0] <=> (1) cpd00067[c0] + (1) cpd00080[c0] + (1) cpd01080[c0]	(1) H2O[c0] + (1) 1-octadecanoyl-sn-glycerol 3-phosphate[c0] <=> (1) H+[c0] + (1) Glycerol-3-phosphate[c0] + (1) ocdca[c0]	fig|1185660.4.peg.477
rxn02275_c0	4-Guanidinobutanamide amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd01973[c0] => (1) cpd00013[c0] + (1) cpd00762[c0]	(1) H2O[c0] + (1) 4-Guanidinobutanamide[c0] => (1) NH3[c0] + (1) 4-Guanidinobutanoate[c0]	(fig|1185660.4.peg.1978 or fig|1185660.4.peg.2410)
rxn00503_c0	(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase_c0	(2) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd02431[c0] <=> (1) cpd00004[c0] + (1) cpd00023[c0] + (1) cpd00067[c0]	(2) H2O[c0] + (1) NAD[c0] + (1) 1-Pyrroline-5-carboxylate[c0] <=> (1) NADH[c0] + (1) L-Glutamate[c0] + (1) H+[c0]	fig|1185660.4.peg.3682
rxn00927_c0	Adenosine ribohydrolase_c0	(1) cpd00001[c0] + (1) cpd00182[c0] <=> (1) cpd00105[c0] + (1) cpd00128[c0]	(1) H2O[c0] + (1) Adenosine[c0] <=> (1) D-Ribose[c0] + (1) Adenine[c0]	((fig|1185660.4.peg.305 or fig|1185660.4.peg.1160 or fig|1185660.4.peg.3218) or (fig|1185660.4.peg.1888 or fig|1185660.4.peg.847))
rxn00251_c0	phosphate:oxaloacetate carboxy-lyase (adding phosphate;phosphoenolpyruvate-forming)_c0	(1) cpd00009[c0] + (1) cpd00032[c0] + (1) cpd00067[c0] <=> (1) cpd00001[c0] + (1) cpd00011[c0] + (1) cpd00061[c0]	(1) Phosphate[c0] + (1) Oxaloacetate[c0] + (1) H+[c0] <=> (1) H2O[c0] + (1) CO2[c0] + (1) Phosphoenolpyruvate[c0]	fig|1185660.4.peg.850
rxn01545_c0	Xanthosine ribohydrolase_c0	(1) cpd00001[c0] + (1) cpd01217[c0] <=> (1) cpd00105[c0] + (1) cpd00309[c0]	(1) H2O[c0] + (1) Xanthosine[c0] <=> (1) D-Ribose[c0] + (1) XAN[c0]	(fig|1185660.4.peg.3218 or fig|1185660.4.peg.305 or fig|1185660.4.peg.1160)
rxn04043_c0	ADP:D-fructose-6-phosphate 1-phosphotransferase_c0	(1) cpd00008[c0] + (1) cpd00072[c0] <=> (1) cpd00018[c0] + (2) cpd00067[c0] + (1) cpd00290[c0]	(1) ADP[c0] + (1) D-fructose-6-phosphate[c0] <=> (1) AMP[c0] + (2) H+[c0] + (1) D-fructose-1,6-bisphosphate[c0]	fig|1185660.4.peg.865
rxn00139_c0	AMP:diphosphate phospho-D-ribosyltransferase_c0	(1) cpd00012[c0] + (1) cpd00018[c0] + (1) cpd00067[c0] <= (1) cpd00103[c0] + (1) cpd00128[c0]	(1) PPi[c0] + (1) AMP[c0] + (1) H+[c0] <= (1) PRPP[c0] + (1) Adenine[c0]	fig|1185660.4.peg.2042
rxn07261_c0	R07384_c0	(1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd12606[c0] <=> (1) cpd00444[c0] + (1) cpd12322[c0]	(1) CMP[c0] + (2) H+[c0] + (1) Plasmenylethanolamine[c0] <=> (1) CDPethanolamine[c0] + (1) 1-Alkenyl-2-acylglycerol[c0]	fig|1185660.4.peg.819
rxn00790_c0	5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_c0	(1) cpd00012[c0] + (1) cpd00023[c0] + (1) cpd00067[c0] + (1) cpd01982[c0] <= (1) cpd00001[c0] + (1) cpd00053[c0] + (1) cpd00103[c0]	(1) PPi[c0] + (1) L-Glutamate[c0] + (1) H+[c0] + (1) 5-Phosphoribosylamine[c0] <= (1) H2O[c0] + (1) L-Glutamine[c0] + (1) PRPP[c0]	fig|1185660.4.peg.1060
rxn03910_c0	2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol CMP-lyase (cyclizing)_c0	(1) cpd08288[c0] <=> (1) cpd00046[c0] + (1) cpd08301[c0]	(1) 2-phospho-4--cytidine5-diphospho-2-C-methyl-D-erythritol[c0] <=> (1) CMP[c0] + (1) 2-C-methyl-D-erythritol2-4-cyclodiphosphate[c0]	fig|1185660.4.peg.1764
rxn00237_c0	ATP:GDP phosphotransferase_c0	(1) cpd00002[c0] + (1) cpd00031[c0] <=> (1) cpd00008[c0] + (1) cpd00038[c0]	(1) ATP[c0] + (1) GDP[c0] <=> (1) ADP[c0] + (1) GTP[c0]	fig|1185660.4.peg.2232
rxn00422_c0	L-Serine:pyruvate aminotransferase_c0	(1) cpd00020[c0] + (1) cpd00054[c0] <=> (1) cpd00035[c0] + (1) cpd00145[c0]	(1) Pyruvate[c0] + (1) L-Serine[c0] <=> (1) L-Alanine[c0] + (1) Hydroxypyruvate[c0]	(fig|1185660.4.peg.295 and fig|1185660.4.peg.295)
rxn07100_c0	CDPethanolamine:1-alkyl-2-acylglycerol ethanolaminephosphotransferase_c0	(1) cpd00444[c0] + (1) cpd12273[c0] <=> (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd12554[c0]	(1) CDPethanolamine[c0] + (1) 1-Alkyl-2-acylglycerol[c0] <=> (1) CMP[c0] + (2) H+[c0] + (1) 1-Alkyl-2-acylglycerophosphoethanolamine[c0]	fig|1185660.4.peg.819
rxn10342_c0	isohexadecanoyl-cardiolipin synthase_c0	(2) cpd15727[c0] <=> (1) cpd00100[c0] + (1) cpd15799[c0]	(2) Diisohexadecanoylphosphatidylglycerol[c0] <=> (1) Glycerol[c0] + (1) Isohexadecanoylcardiolipin (B. subtilis)[c0]	(fig|1185660.4.peg.9 or fig|1185660.4.peg.3980 or fig|1185660.4.peg.4257 or fig|1185660.4.peg.4173)
rxn03540_c0	R05225_c0	(4) cpd00001[c0] + (4) cpd00002[c0] + (4) cpd00053[c0] + (1) cpd03916[c0] <=> (4) cpd00008[c0] + (4) cpd00009[c0] + (4) cpd00023[c0] + (4) cpd00067[c0] + (1) cpd03917[c0]	(4) H2O[c0] + (4) ATP[c0] + (4) L-Glutamine[c0] + (1) Adenosyl cobyrinate diamide[c0] <=> (4) ADP[c0] + (4) Phosphate[c0] + (4) L-Glutamate[c0] + (4) H+[c0] + (1) Adenosylcobyric acid[c0]	fig|1185660.4.peg.2928
rxn08086_c0	1-hexadecanoyl-sn-glycerol 3-phosphate O-acyltransferase (n-C16:0)_c0	(1) cpd00067[c0] + (1) cpd15277[c0] + (1) cpd15327[c0] => (1) cpd11493[c0] + (1) cpd15524[c0]	(1) H+[c0] + (1) Palmitoyl-ACP[c0] + (1) 1-hexadecanoyl-sn-glycerol 3-phosphate[c0] => (1) ACP[c0] + (1) 1,2-dihexadecanoyl-sn-glycerol 3-phosphate[c0]	(fig|1185660.4.peg.487 or fig|1185660.4.peg.176 or fig|1185660.4.peg.502)
rxn08311_c0	CDP-diacylglycerol synthetase (n-C18:0)_c0	(1) cpd00052[c0] + (1) cpd15526[c0] <=> (1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd15421[c0]	(1) CTP[c0] + (1) 1,2-dioctadecanoyl-sn-glycerol 3-phosphate[c0] <=> (1) PPi[c0] + (1) H+[c0] + (1) CDP-1,2-dioctadecanoylglycerol[c0]	(fig|1185660.4.peg.1658 or fig|1185660.4.peg.503)
rxn03175_c0	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0	(1) cpd00067[c0] + (1) cpd02979[c0] <=> (1) cpd02991[c0]	(1) H+[c0] + (1) phosphoribosylformiminoaicar-phosphate[c0] <=> (1) phosphoribulosylformimino-AICAR-phosphate[c0]	fig|1185660.4.peg.1877
rxn10264_c0	isohexadecanoyl-CDPdiacylglycerol:sn-glycerol-3-phosphate 3-phosphatidyltransferase_c0	(1) cpd00080[c0] + (1) cpd15688[c0] <=> (1) cpd00046[c0] + (1) cpd15721[c0]	(1) Glycerol-3-phosphate[c0] + (1) CDP-1,2-diisohexadecanoylglycerol[c0] <=> (1) CMP[c0] + (1) Diisohexadecanoylphosphatidylglycerophosphate[c0]	(fig|1185660.4.peg.2313 or fig|1185660.4.peg.496)
rxn03421_c0	2,5-Diaminopyrimidine nucleoside triphosphate mutase_c0	(1) cpd03519[c0] <=> (1) cpd03666[c0]	(1) 2,5-Diaminopyrimidine nucleoside triphosphate[c0] <=> (1) 2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)- amino-4-oxopyrimidine[c0]	(fig|1185660.4.peg.4161 or fig|1185660.4.peg.1823)
rxn10227_c0	anteisoheptadecanoyl-CDPdiacylglycerol-serine O-phosphatidyltransferase_c0	(1) cpd00054[c0] + (1) cpd15684[c0] => (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd15690[c0]	(1) L-Serine[c0] + (1) CDP-1,2-dianteisoheptadecanoylglycerol[c0] => (1) CMP[c0] + (2) H+[c0] + (1) Dianteisoheptadecanoylphosphatidylserine[c0]	(fig|1185660.4.peg.3482 or fig|1185660.4.peg.2356)
rxn01146_c0	thymidine:phosphate deoxy-alpha-D-ribosyltransferase_c0	(1) cpd00009[c0] + (1) cpd00184[c0] <=> (1) cpd00151[c0] + (1) cpd00509[c0]	(1) Phosphate[c0] + (1) Thymidine[c0] <=> (1) Thymine[c0] + (1) deoxyribose-1-phosphate[c0]	(fig|1185660.4.peg.3230 or fig|1185660.4.peg.945)
rxn05336_c0	(3R)-3-Hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0	(1) cpd00006[c0] + (1) cpd11481[c0] <=> (1) cpd00005[c0] + (1) cpd11485[c0]	(1) NADP[c0] + (1) R-3-hydroxypalmitoyl-acyl-carrierprotein-[c0] <=> (1) NADPH[c0] + (1) 3-oxohexadecanoyl-acp[c0]	(fig|1185660.4.peg.1112 or fig|1185660.4.peg.3753 or fig|1185660.4.peg.3578 or fig|1185660.4.peg.409 or fig|1185660.4.peg.401 or fig|1185660.4.peg.4522 or fig|1185660.4.peg.1143)
rxn09210_c0	Phosphatidylserine syntase (n-C18:0)_c0	(1) cpd00054[c0] + (1) cpd15421[c0] => (1) cpd00046[c0] + (2) cpd00067[c0] + (1) cpd15557[c0]	(1) L-Serine[c0] + (1) CDP-1,2-dioctadecanoylglycerol[c0] => (1) CMP[c0] + (2) H+[c0] + (1) phosphatidylserine dioctadecanoyl[c0]	(fig|1185660.4.peg.2356 or fig|1185660.4.peg.3482)
rxn01484_c0	N-Acetyl-D-glucosamine-6-phosphate amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd00293[c0] <=> (1) cpd00029[c0] + (1) cpd00288[c0]	(1) H2O[c0] + (1) N-Acetyl-D-glucosamine 6-phosphate[c0] <=> (1) Acetate[c0] + (1) D-Glucosamine phosphate[c0]	fig|1185660.4.peg.747
rxn02260_c0	R03157_c0	(1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd03375[c0] <=> (1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd00745[c0]	(1) ADP[c0] + (1) Phosphate[c0] + (1) 3-Hydroxypropanoyl-CoA[c0] <=> (1) ATP[c0] + (1) CoA[c0] + (1) H+[c0] + (1) Hydracrylic acid[c0]	fig|1185660.4.peg.1539
rxn01124_c0	2-Dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase_c0	(1) cpd00003[c0] + (1) cpd00176[c0] <=> (1) cpd00004[c0] + (1) cpd00067[c0] + (1) cpd02663[c0]	(1) NAD[c0] + (1) 2-keto-3-deoxygluconate[c0] <=> (1) NADH[c0] + (1) H+[c0] + (1) 2,5-Diketo-3-deoxy-D-gluconate[c0]	fig|1185660.4.peg.145
rxn00285_c0	Succinate:CoA ligase (ADP-forming)_c0	(1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd00036[c0] <=> (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00078[c0]	(1) ATP[c0] + (1) CoA[c0] + (1) Succinate[c0] <=> (1) ADP[c0] + (1) Phosphate[c0] + (1) Succinyl-CoA[c0]	(fig|1185660.4.peg.4572 and fig|1185660.4.peg.4573)
rxn05371_c0	8-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	(1) cpd11492[c0] + (1) cpd11507[c0] => (1) cpd00011[c0] + (1) cpd11493[c0] + (1) cpd11508[c0]	(1) Malonyl-acyl-carrierprotein-[c0] + (1) 8-methyl-decanoyl-ACP[c0] => (1) CO2[c0] + (1) ACP[c0] + (1) 10-methyl-3-oxo-dodecanoyl-ACP[c0]	(fig|1185660.4.peg.1145 and (fig|1185660.4.peg.1140 or fig|1185660.4.peg.2283))
rxn09146_c0	Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)_c0	(1) cpd00001[c0] + (1) cpd15523[c0] => (1) cpd00067[c0] + (1) cpd15298[c0] + (1) cpd15330[c0]	(1) H2O[c0] + (1) 1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate[c0] => (1) H+[c0] + (1) tetradecenoate[c0] + (1) 1-tetradec-7-enoyl-sn-glycerol 3-phosphate[c0]	fig|1185660.4.peg.1329
rxn00182_c0	L-glutamate:NAD+ oxidoreductase (deaminating)_c0	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd00023[c0] <=> (1) cpd00004[c0] + (1) cpd00013[c0] + (1) cpd00024[c0] + (1) cpd00067[c0]	(1) H2O[c0] + (1) NAD[c0] + (1) L-Glutamate[c0] <=> (1) NADH[c0] + (1) NH3[c0] + (1) 2-Oxoglutarate[c0] + (1) H+[c0]	fig|1185660.4.peg.2135
rxn05567_c0	Galactitol transport via PEP:Pyr PTS_c0	(1) cpd00061[c0] + (1) cpd01171[e0] <=> (1) cpd00020[c0] + (1) cpd03752[c0]	(1) Phosphoenolpyruvate[c0] + (1) Dulcose[e0] <=> (1) Pyruvate[c0] + (1) Galactitol 1-phosphate[c0]	(Unknown and Unknown and Unknown and Unknown and (fig|1185660.4.peg.2139 or fig|1185660.4.peg.2706))
rxn02181_c0	3-Hydroxypropionyl-CoA hydro-lyase_c0	(1) cpd03375[c0] <=> (1) cpd00001[c0] + (1) cpd00663[c0]	(1) 3-Hydroxypropanoyl-CoA[c0] <=> (1) H2O[c0] + (1) Acrylyl-CoA[c0]	((fig|1185660.4.peg.912 or fig|1185660.4.peg.2984 or fig|1185660.4.peg.1548 or fig|1185660.4.peg.1440 or fig|1185660.4.peg.2234) or fig|1185660.4.peg.2339)
rxn00532_c0	3-oxopropanoate:NADP+ oxidoreductase (CoA-malonylating)_c0	(1) cpd00006[c0] + (1) cpd00010[c0] + (1) cpd00191[c0] <=> (1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd00070[c0]	(1) NADP[c0] + (1) CoA[c0] + (1) 3-Oxopropanoate[c0] <=> (1) NADPH[c0] + (1) H+[c0] + (1) Malonyl-CoA[c0]	fig|1185660.4.peg.2630
rxn05172_c0	ATP phosphohydrolase (taurine-importing)_c0	(1) cpd00001[c0] + (1) cpd00002[c0] + (1) cpd00210[e0] => (1) cpd00008[c0] + (1) cpd00009[c0] + (1) cpd00067[c0] + (1) cpd00210[c0]	(1) H2O[c0] + (1) ATP[c0] + (1) Taurine[e0] => (1) ADP[c0] + (1) Phosphate[c0] + (1) H+[c0] + (1) Taurine[c0]	(fig|1185660.4.peg.874 or fig|1185660.4.peg.875 or fig|1185660.4.peg.873)
rxn01642_c0	4-imidazolone-5-propanoate amidohydrolase_c0	(1) cpd00001[c0] + (1) cpd00067[c0] + (1) cpd02311[c0] => (1) cpd00344[c0]	(1) H2O[c0] + (1) H+[c0] + (1) 4-Imidazolone-5-propanoate[c0] => (1) N-Formimino-L-glutamate[c0]	(fig|1185660.4.peg.1499 or fig|1185660.4.peg.3883)
rxn00132_c0	Adenosine 5'-monophosphate phosphohydrolase_c0	(1) cpd00001[c0] + (1) cpd00018[c0] => (1) cpd00009[c0] + (1) cpd00182[c0]	(1) H2O[c0] + (1) AMP[c0] => (1) Phosphate[c0] + (1) Adenosine[c0]	fig|1185660.4.peg.1452
