rxn,Void,rpfCGH,Void_Xanthan,rpfCGH_Xanthan,group
MNXR94197,1000.0,1000.0,1000.0,1000.0,r
MNXR94198,1000.0,1000.0,1000.0,1000.0,r
MNXR94200,1000.0,1000.0,1000.0,1000.0,r
MNXR94201,1000.0,1000.0,1000.0,1000.0,r
MNXR94202,999.99685,999.99685,999.99685,999.99685,r
MNXR94217,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94219,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94220,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94221,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94222,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94224,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94225,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94226,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94227,1000.0,1000.0,1000.0,1000.0,r
MNXR94245,1000.0,1000.0,1000.0,1000.0,r
MNXR94247,1000.0,1000.0,1000.0,1000.0,r
MNXR94248,1000.0,1000.0,1000.0,1000.0,r
MNXR94249,1000.0,1000.0,1000.0,1000.0,r
MNXR94250,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94252,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94253,1000.0,1000.0,1000.0,1000.0,r
MNXR94254,1000.0,1000.0,1000.0,1000.0,r
MNXR94255,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94256,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94258,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94259,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94260,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94261,1000.0,1000.0,1000.0,1000.0,r
MNXR94263,1000.0,1000.0,1000.0,1000.0,r
MNXR94264,-1000.0,-1000.0,-1000.0,-1000.0,g
MNXR94265,-999.99685,-999.99685,-999.99685,-999.99685,g
MNXR94267,-0.00247,-0.00247,-0.00247,-0.00247,m
MNXR94325,999.99969,999.99969,999.99969,999.99969,r
MOAT,-0.00247,-0.00247,-0.00247,-0.00247,m
MOAT2,0.00247,0.00247,0.00247,0.00247,m
MOAT3C,-0.00247,-0.00247,-0.00247,-0.00247,m
MOHMT,0.00061,0.00061,0.00061,0.00061,m
MPPM,1.5774299999999999,1.5774299999999999,1.5774299999999999,1.5774299999999999,m
MQN7t,0.00061,0.00061,0.00061,0.00061,m
MTHFC,-0.03885,-0.03885,-0.03885,-0.03885,m
MTHFD,0.06683,0.06683,0.06683,0.06683,m
MTHFO,-999.9855699999999,-999.9855699999999,-999.9855699999999,-999.9855699999999,g
MTHFO_nadp,1000.0,1000.0,1000.0,1000.0,r
MTI,-1000.0,-1000.0,-1000.0,-1000.0,g
NADK,-1000.0,-1000.0,-1000.0,-1000.0,g
NADTRHD,-1000.0,-1000.0,-1000.0,-1000.0,g
NAPRT,-0.00031,-0.00031,-0.00031,-0.00031,m
NDPK2,-2.4047,-2.4062799999999998,-2.4047,-2.4062799999999998,y
NDPK3,4.38399,4.38241,4.38399,4.38241,m
NDPK4,-999.99565,-999.99565,-999.99565,-999.99565,g
NDPK6,0.0,-0.00158,0.0,-0.00158,m
NDPK7,-0.00158,-0.00316,-0.00158,-0.00316,m
NDPK8,-1000.0,-1000.0,-1000.0,-1000.0,g
NDPK9,-996.92566,-4.77225,-996.92566,-4.77225,
NFORGLUAH,0.02798,0.0,0.02798,0.0,m
NH4t,-19.2289,0.0,-19.2289,0.0,m
NMNTP,0.00061,0.00061,0.00061,0.00061,m
NNDMBRT,-0.00031,-0.00031,-0.00031,-0.00031,m
NTD11,770.42943,0.0,770.42943,0.0,c
O2t,0.00168,0.00168,0.00168,0.00168,m
OCDCAt2,0.0084,0.0084,0.0084,0.0084,m
OCOAT1,0.0084,0.0084,0.0084,0.0084,m
OF_Biomass_Synthesis,0.49295,0.49295,0.49295,0.49295,m
OHPHM,0.00031,0.00031,0.00031,0.00031,m
OMCDC,-0.03701,-0.03701,-0.03701,-0.03701,m
OMPDC,-0.02041,-0.02041,-0.02041,-0.02041,m
OPHBDC,-0.00031,-0.00031,-0.00031,-0.00031,m
ORNTA,0.0,-0.024630000000000003,0.0,-0.024630000000000003,m
ORPT,-0.02041,-0.02041,-0.02041,-0.02041,m
P5CD,0.01818,0.01818,0.01818,0.01818,m
P5CR,-0.01818,-1000.0,-0.01818,-1000.0,c
P5CRx,-1000.0,-1000.0,-1000.0,-1000.0,g
PANTS,-0.00061,-0.00061,-0.00061,-0.00061,m
PAPPT3,0.00247,0.00247,0.00247,0.00247,m
PDHam2hi,-0.10457999999999999,-0.10457999999999999,-0.10457999999999999,-0.10457999999999999,m
PDHbr,0.10457999999999999,0.10457999999999999,0.10457999999999999,0.10457999999999999,m
PFK_3,223.39425,-5.96628,223.39425,-5.96628,m
PFK_adp,-229.36052999999998,0.0,-229.36052999999998,0.0,m
PGAMT,0.0,656.71372,0.0,656.71372,y
PGCD,-0.12113,-992.27453,-0.12113,-992.27453,c
PGI,1000.0,1000.0,1000.0,1000.0,r
PGK,-0.12113,-7.5071,-0.12113,-7.5071,m
PGM,1000.0,15.23257,1000.0,15.23257,c
PGMT,2.3784799999999997,2.3784799999999997,2.3784799999999997,2.3784799999999997,m
PHETA1,-0.01523,-0.01523,-0.01523,-0.01523,m
PIabc,-1000.0,-1000.0,-1000.0,-1000.0,g
PIt2r,-997.55472,-997.55472,-997.55472,-997.55472,g
PLIPA1A140pp,-1000.0,-1000.0,-1000.0,-1000.0,g
PLIPA1A180pp,0.00105,0.0,0.00105,0.0,m
PLIPA1E160,1000.0,1000.0,1000.0,1000.0,r
PLIPA1E180,0.0,0.00105,0.0,0.00105,m
PLIPA2A140pp,-1000.0,-999.99895,-1000.0,-999.99895,g
PNTK,-0.00061,-0.00061,-0.00061,-0.00061,m
PPBNGS,-0.00244,-0.00244,-0.00244,-0.00244,m
PPCDC,-0.00061,-0.00061,-0.00061,-0.00061,m
PPNCL2,-0.00061,-0.00061,-0.00061,-0.00061,m
PPNDH,-0.01523,-0.01523,-0.01523,-0.01523,m
PPPGO,-0.00015,-0.00015,-0.00015,-0.00015,m
PPRGL,-0.03073,-0.03073,-0.03073,-0.03073,m
PPTTm,-0.00031,-0.00031,-0.00031,-0.00031,m
PRACHh,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,m
PRADPh,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,-0.007809999999999999,m
PRAIS,-0.03073,-0.03073,-0.03073,-0.03073,m
PRAISh,-0.03073,-0.03073,-0.03073,-0.03073,m
PRFGS,-0.03073,-0.03073,-0.03073,-0.03073,m
PRICIh,0.007809999999999999,0.007809999999999999,0.007809999999999999,0.007809999999999999,m
PROD2,-1000.0,-0.01818,-1000.0,-0.01818,b
PRPPS,-770.48991,-0.07571,-770.48991,-0.07571,y
PSAT,-0.12113,-992.27453,-0.12113,-992.27453,c
PSCIT,0.02805,0.02805,0.02805,0.02805,m
PSD180,-0.00105,0.0,-0.00105,0.0,m
PSP,0.12113,992.27453,0.12113,992.27453,y
PSSA180,-0.00105,0.0,-0.00105,0.0,m
PYDXS,0.00031,0.00031,0.00031,0.00031,m
PYK,-1000.0,-1000.0,-1000.0,-1000.0,g
R01465m,0.02081,-4.4528,0.02081,-4.4528,m
RBFK,-0.00031,-0.00031,-0.00031,-0.00031,m
RBFSb,0.00061,0.00061,0.00061,0.00061,m
RBK,-770.43065,-0.01646,-770.43065,-0.01646,y
RNDR1,-0.00158,-0.00158,-0.00158,-0.00158,m
RNDR2,-0.00158,-0.00158,-0.00158,-0.00158,m
RNDR3,-0.00158,-0.00316,-0.00158,-0.00316,m
RNDR4,-0.00158,0.0,-0.00158,0.0,m
RPE,-0.058089999999999996,-0.058089999999999996,-0.058089999999999996,-0.058089999999999996,m
RPI,0.04917,0.04917,0.04917,0.04917,m
RZ5PP,0.00031,0.00031,0.00031,0.00031,m
S7PI,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
SADT,-1000.0,-1000.0,-1000.0,-1000.0,g
SADT2,999.97867,999.97867,999.97867,999.97867,r
SHCHD2,-0.00031,-0.00031,-0.00031,-0.00031,m
SHCHF,0.00031,0.00031,0.00031,0.00031,m
SHK3Dr,0.02805,0.02805,0.02805,0.02805,m
SHKK,-0.02805,-0.02805,-0.02805,-0.02805,m
SO4t2,0.02163,0.02163,0.02163,0.02163,m
SPMDabc,0.00031,0.00031,0.00031,0.00031,m
SPTc,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
SUCLm,-0.6761,-2.9129099999999997,-0.6761,-2.9129099999999997,m
SULR,0.021330000000000002,0.021330000000000002,0.021330000000000002,0.021330000000000002,m
TALA,223.3743,-5.98623,223.3743,-5.98623,m
TDPDRE,-0.00247,-0.00247,-0.00247,-0.00247,m
TDPDRR,0.00247,0.00247,0.00247,0.00247,m
TDPGDH,0.00247,0.00247,0.00247,0.00247,m
TDSK,0.00247,0.00247,0.00247,0.00247,m
TDSRh,0.02765,0.02765,0.02765,0.02765,m
THD2,327.95974,331.16456,327.95974,331.16456,m
THRS,0.0,4.47361,0.0,4.47361,m
TKT1,-0.01009,-0.01009,-0.01009,-0.01009,m
TKT2,-0.048,-0.048,-0.048,-0.048,m
TMDS,0.00158,0.00158,0.00158,0.00158,m
TMPK,-0.00031,-0.00031,-0.00031,-0.00031,m
TPI,1.43859,-5.94738,1.43859,-5.94738,m
TRPt2m,0.00465,0.00465,0.00465,0.00465,m
TTDCAt2,0.014790000000000001,0.014790000000000001,0.014790000000000001,0.014790000000000001,m
UAAGDS,-0.00247,-0.00247,-0.00247,-0.00247,m
UAGAAT,0.0049299999999999995,0.0049299999999999995,0.0049299999999999995,0.0049299999999999995,m
UAGCVT,-0.00247,-0.00247,-0.00247,-0.00247,m
UAGDP,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
UAGPT3,-0.00247,-0.00247,-0.00247,-0.00247,m
UAMAGS,0.00247,0.00247,0.00247,0.00247,m
UAMAS,-0.00247,-0.00247,-0.00247,-0.00247,m
UAPGR,0.00247,0.00247,0.00247,0.00247,m
UDPGD,-0.78872,-0.78872,-0.78872,-0.78872,m
UGMDDS,0.00247,0.00247,0.00247,0.00247,m
UHBZ1t_pp,0.00031,0.00031,0.00031,0.00031,m
UHGADA,-0.0049299999999999995,-0.0049299999999999995,-0.0049299999999999995,-0.0049299999999999995,m
UMPK,-1.60277,-1.60277,-1.60277,-1.60277,y
UPP3S,-0.00061,-0.00061,-0.00061,-0.00061,m
UPPDC1,-0.00031,-0.00031,-0.00031,-0.00031,m
UREA,9.97537,0.36091999999999996,9.97537,0.36091999999999996,m
URFGTT,0.00031,0.00031,0.00031,0.00031,m
URIDK2m,-0.00158,-0.00158,-0.00158,-0.00158,m
VPAMTr,4.53885,997.15216,4.53885,997.15216,y
XPPT,-770.41297,0.0,-770.41297,0.0,y
XTSNH,1000.0,1000.0,1000.0,1000.0,r
ZN2t4pp,-0.00031,-0.00031,-0.00031,-0.00031,m
gumBCEJ,0.39436,0.39436,0.39436,0.39436,m
rxn03893_c0,-0.00031,-0.00031,-0.00031,-0.00031,m
rxn05342_c0,0.009859999999999999,0.009859999999999999,0.009859999999999999,0.009859999999999999,m
rxn05345_c0,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,-0.009859999999999999,m
rxn05359_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05363_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05367_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05371_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05375_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05379_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05384_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05388_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05392_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05396_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05400_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn05404_c0,-0.0084,-0.0084,-0.0084,-0.0084,m
rxn06723_c0,-0.0049299999999999995,-0.0049299999999999995,-0.0049299999999999995,-0.0049299999999999995,m
rxn08333_c0,-0.00061,-0.00061,-0.00061,-0.00061,m
rxn12008_c0,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,-0.0009199999999999999,m
rxn13990_c0,-0.009859999999999999,656.70386,-0.009859999999999999,656.70386,y
