"rpfCGH_mean"	"Void_mean"	"theta"	"prob"	"log2FC"
"fig|1185660.4.peg.2067"	1237	2713.5	-1.48285445726496	0.998850343275021	-1.13330940836603
"xanmn_unk11_0007"	2	19	-1.48247697823172	0.998814980514516	-3.24792751344359
"xanmn_unk10_0026"	66.5	272	-1.56927088982403	0.998811596069766	-2.03218040574915
"fig|1185660.4.peg.1934"	7.5	182.5	-1.5688357825108	0.998779708714163	-4.60486205815886
"fig|1185660.4.peg.2020"	3.5	51	-1.56880617553661	0.998777540875776	-3.86507041991389
"fig|1185660.4.peg.2976"	3514	7278	-1.42690270984086	0.998757312067222	-1.05042785983329
"xanmn_chr14_0136"	10.25	156.5	-1.40929907561775	0.998730240816746	-3.93246684231453
"xanmn_chr03_0309"	2	11	-1.40928283803454	0.998729567673913	-2.4594316186373
"fig|1185660.4.peg.4552"	17	177.5	-1.84952929926571	0.998719626874205	-3.3842123731417
"xanmn_chr11_0216"	16	117	-1.56795617421526	0.998715408690321	-2.8703647195834
"fig|1185660.4.peg.648"	7	116	-1.42819799665541	0.998687933918257	-4.05062607306997
"xanmn_chr08_5008"	894	2209.5	-1.89465563947937	0.998664077349043	-1.30537319457369
"fig|1185660.4.peg.2279"	241	1069.5	-1.42865878045187	0.998655401855675	-2.14983143093508
"fig|1185660.4.peg.95"	79	336.5	-1.42910010570282	0.998624187870975	-2.09068194643321
"fabG"	82	730	-1.42917195162321	0.998619101193104	-3.1542006491493
"xanmn_chr11_0228"	53	240.5	-1.43001308121872	0.998559441387352	-2.18197262920684
"xanmn_chr13_0140"	80	266.5	-1.43006642164018	0.998555651325394	-1.73606362787181
"xanmn_unk12_0028"	7.5	48.5	-1.43013126544269	0.99855104281792	-2.69302224657861
"fig|1185660.4.peg.2186"	26	104	-1.47940734457304	0.998509321083839	-2
"fig|1185660.4.peg.3757"	28.5	147	-1.47915225592015	0.998482790413275	-2.36678233067162
"xanmn_chr06_0446"	59.5	742.5	-1.56404630307887	0.998434071283946	-3.64142945238018
"fig|1185660.4.peg.2271"	5.5	189.5	-1.53685257730787	0.998402465188419	-5.10662241953379
"xanmn_pla04_0007"	481	777	-1.40181085001295	0.998368401813504	-0.691877704637668
"xanmn_chr03_0464"	4	37	-1.5380179026302	0.998326438622088	-3.20945336562895
"fig|1185660.4.peg.2951"	0.75	10.5	-1.56105545671338	0.998237555197066	-3.8073549220576
"fig|1185660.4.peg.2252"	14	212.5	-1.47680456397203	0.998228298897577	-3.92396410896746
"fig|1185660.4.peg.2151"	690	1380	-1.39822847432358	0.998201003882679	-1
"fig|1185660.4.peg.3799"	4.5	29.5	-1.55879336041883	0.998107560805526	-2.71271804791953
"fig|1185660.4.peg.713"	41	260.5	-1.47553222046426	0.998087994336093	-2.66758755766042
"xanmn_chr03_0005"	13	141	-1.29368562101679	0.998076476992368	-3.4391116342577
"xanmn_chr03_0319"	16	112.5	-1.3469081738713	0.998076348739405	-2.81378119121704
"fig|1185660.4.peg.4431"	4	50	-1.34673522794767	0.998074689034213	-3.64385618977472
"fig|1185660.4.peg.1335"	44.5	175.5	-1.34648092518107	0.998072250566248	-1.97959378933816
"fig|1185660.4.peg.1569"	2328.5	6971	-1.34615433722729	0.998069122440724	-1.58196474546452
"fig|1185660.4.peg.431"	46.5	172	-1.35416970586652	0.998068393303074	-1.88710594359407
"fig|1185660.4.peg.3144"	67.5	286.5	-1.29974069231986	0.99806784232692	-2.08557573170607
"fig|1185660.4.peg.1936"	1	36	-1.85610026670825	0.998066679341059	-5.16992500144231
"fig|1185660.4.peg.2070"	1	36	-1.85610026670825	0.998066679341059	-5.16992500144231
"fig|1185660.4.peg.3089"	1	36	-1.85610026670825	0.998066679341059	-5.16992500144231
"fig|1185660.4.peg.993"	2341	4603.5	-1.3547359833445	0.998063495539184	-0.975606212075628
"fig|1185660.4.peg.1772"	443	923.5	-1.30030622030703	0.998058817709663	-1.05980526242742
"fig|1185660.4.peg.989"	5655.5	12502.5	-1.54269908343572	0.998055494305424	-1.14449012211342
"xanmn_chr03_0713"	61.5	358.5	-1.39406736081696	0.998036797250481	-2.54331480336266
"xanmn_chr03_0765"	177	548	-1.29104735588587	0.998023258488424	-1.63042653287753
"fig|1185660.4.peg.1194"	7.5	94.5	-1.3584256868273	0.998020315022612	-3.65535182861255
"fig|1185660.4.peg.4556"	10.5	63	-1.35863034185906	0.998017437762928	-2.58496250072116
"xanmn_chr03_0212"	4	29	-1.3597602042854	0.998000483568396	-2.85798099512757
"fig|1185660.4.peg.2445"	2	31.5	-1.3407367706666	0.997988752301603	-3.97727992349992
"xanmn_chr11_0241"	18.5	195.5	-1.36066814070563	0.997986805943541	-3.4015714316784
"fig|1185660.4.peg.1329"	29	123.5	-1.34029601849206	0.997979502984532	-2.09038623645711
"fig|1185660.4.peg.752"	4	32	-1.36240039679207	0.997959914992881	-3
"fig|1185660.4.peg.399"	15	110.5	-1.55519568669673	0.997955611669243	-2.88101196378291
"xanmn_chr03_0209"	170	535	-1.28894543748652	0.997954631261076	-1.65400414515081
"xanmn_chr02_0178"	48	251	-1.36315014338511	0.997948054803959	-2.38658105322962
"fig|1185660.4.peg.4494"	6	31	-1.3384286357873	0.997938602213083	-2.36923380966572
"fig|1185660.4.peg.2215"	4.5	48.5	-1.36408969940233	0.997933144441003	-3.42998784074482
"fig|1185660.4.peg.3544"	4.5	76	-1.54615610399898	0.997928959278783	-4.07800251200127
"fig|1185660.4.peg.2924"	10	106	-1.43709443368632	0.997922447790253	-3.40599235967584
"fig|1185660.4.peg.2305"	34	388	-1.47398945630989	0.99791286493664	-3.51245000093679
"fig|1185660.4.peg.526"	3	20.5	-1.43729032808118	0.997902291845115	-2.77258950389693
"fig|1185660.4.peg.1225"	16	129.5	-1.38882521845662	0.997890615263238	-3.01680828768655
"fig|1185660.4.peg.3088"	2	36	-1.28756313645744	0.997888542787367	-4.16992500144231
"fig|1185660.4.peg.619"	75.5	272.5	-1.30726892517795	0.997888247936056	-1.85170768033921
"xanmn_chr11_0243"	1.5	22	-1.5520268084612	0.997884866064892	-3.87446911791614
"fig|1185660.4.peg.25"	137.5	1180	-1.88677251868789	0.997879222015487	-3.10128333583718
"fig|1185660.4.peg.2282"	295.5	3362	-1.54955816172418	0.997874786951123	-3.50808968905864
"fig|1185660.4.peg.4517"	4.5	90	-1.88663128587172	0.997865440586158	-4.32192809488736
"fig|1185660.4.peg.1016"	1372	3668	-1.36919098024161	0.997860378360075	-1.41871315742224
"fig|1185660.4.peg.4015"	13	102	-1.38660438802826	0.997849335201583	-2.9719856238304
"fig|1185660.4.peg.2480"	0.5	7.5	-1.38589871483229	0.997839608185289	-3.90689059560852
"xanmn_chr03_0705"	214	736.5	-1.30950439668007	0.997825569704818	-1.7830747286347
"fig|1185660.4.peg.2297"	14.5	142.5	-1.30983723377633	0.997816391501467	-3.29683711392453
"fig|1185660.4.peg.2327"	123	360.5	-1.37445882787308	0.997809685437937	-1.55134094390158
"fig|1185660.4.peg.1043"	6267	14110.5	-1.88602611604187	0.997806421409927	-1.17092221193165
"fig|1185660.4.peg.4484"	146	762	-1.3749805967383	0.99780586534728	-2.3838226286133
"fig|1185660.4.peg.1138"	680	1548	-1.38233739782389	0.997805478833861	-1.18679882000671
"fig|1185660.4.peg.63"	5	36	-1.3751174753153	0.997804861917027	-2.84799690655495
"fig|1185660.4.peg.3659"	11	89.5	-1.33287545419523	0.997802384986297	-3.02438415862696
"fig|1185660.4.peg.3322"	18	83.5	-1.37603773454845	0.997801046997315	-2.21377929103174
"fig|1185660.4.peg.1994"	35	145	-1.38132991554305	0.997799495367838	-2.05062607306997
"fig|1185660.4.peg.2203"	317	1082	-1.33235754470084	0.997790102200957	-1.77114575368741
"fig|1185660.4.peg.525"	2	14.5	-1.33164219106737	0.997773176252736	-2.85798099512757
"xanmn_chr06_0471"	0.5	21.25	-1.31207984296809	0.99775825618922	-5.4093909361377
"fig|1185660.4.peg.3665"	2297	8048	-1.88534957051337	0.997740504604622	-1.8088794484276
"fig|1185660.4.peg.2276"	9.5	161.5	-1.43931246752296	0.997693308533066	-4.08746284125034
"xanmn_chr10_0324"	87	422.5	-1.31727890354369	0.997660572556356	-2.27986403532082
"fig|1185660.4.peg.2195"	0.5	2	-1.31737469524736	0.997659606925003	-2
"xanmn_chr13_0297"	0.5	2	-1.31737469524736	0.997659606925003	-2
"fig|1185660.4.peg.2809"	37	199	-1.32519596638869	0.997655934312174	-2.4271712549147
"fig|1185660.4.peg.1274"	157.5	550	-1.31802275055464	0.997653065151529	-1.80407979002474
"fig|1185660.4.peg.2900"	6.5	41.5	-1.32283606781739	0.997638982112855	-2.67459971320583
"fig|1185660.4.peg.3661"	148.5	400.5	-1.32123864033804	0.997636331160023	-1.43133931160794
"fig|1185660.4.peg.4147"	190	441	-1.32160786699967	0.997635956409132	-1.21477923722657
"xanmn_chr14_0017"	87.5	328	-1.32217054649027	0.997635384316131	-1.90634089278575
"fig|1185660.4.peg.3885"	14	302	-1.44018000688439	0.997604615541711	-4.43104981726747
"fig|1185660.4.peg.4018"	35	130.5	-1.28264943672544	0.99759507634395	-1.89862297962492
"fig|1185660.4.peg.868"	593.5	1099	-1.28236619176883	0.997573966700018	-0.888871451307324
"fig|1185660.4.peg.2296"	22.5	206.5	-1.28196230455502	0.997543902258334	-3.19814487508977
"xanmn_chr03_0715"	9	162.5	-1.44166591378442	0.997452045145313	-4.1743709064735
"fig|1185660.4.peg.2948"	7	60	-1.4423792815987	0.997380401241933	-3.09953567355091
"fig|1185660.4.peg.1197"	2.5	31	-1.44241881000685	0.997376609768449	-3.63226821549951
"fig|1185660.4.peg.3685"	40.5	160	-1.21924325450816	0.997370235436117	-1.98207809200274
"fig|1185660.4.peg.2119"	21.5	77.5	-1.21891892276591	0.997367363662709	-1.84985965057214
"fig|1185660.4.peg.3565"	29.5	169.5	-1.22306366238	0.997362483729183	-2.5224984137745
"xanmn_chr10_0400"	63.5	209.5	-1.21802980328909	0.997357684518008	-1.72212174692719
"xanmn_chr08_0078"	68	203.5	-1.22365228010657	0.997357145470833	-1.58142214301591
"fig|1185660.4.peg.3511"	4	30	-1.21738447313137	0.997350675613728	-2.90689059560852
"xanmn_chr04_5005"	102.5	295.5	-1.21722102298603	0.997348902558597	-1.52753422067209
"fig|1185660.4.peg.2298"	43	374.5	-1.22496995988975	0.997343123982727	-3.12255715375665
"fig|1185660.4.peg.1537"	6	90	-1.22641745752297	0.997316410724286	-3.90689059560852
"fig|1185660.4.peg.1005"	3473.5	8485.5	-1.21512170103004	0.997310114459182	-1.28860957437183
"fig|1185660.4.peg.751"	5.5	30.5	-1.2146832185449	0.997299845640669	-2.47130571892559
"fig|1185660.4.peg.4256"	335	597	-1.22748339048217	0.99729666250395	-0.83356983591967
"fig|1185660.4.peg.2275"	11.5	527	-1.87990403431469	0.997296553725792	-5.5180971955802
"fig|1185660.4.peg.992"	3250.5	9682	-1.87988467818102	0.997295133761985	-1.57464344004603
"xanmn_chr03_0788"	293	1972.5	-1.8650540208129	0.997286466281239	-2.75105273047857
"fig|1185660.4.peg.2968"	376	622	-1.2118172718461	0.997211684861221	-0.726181918452965
"fig|1185660.4.peg.2507"	318	557	-1.21157026811162	0.997203009443761	-0.808650562055676
"xanmn_chr03_0219"	5	45.5	-1.21061933961722	0.997167066351653	-3.18586654531133
"xanmn_chr03_0851"	130.5	342	-1.23205120628331	0.99716231844057	-1.38994651831601
"fig|1185660.4.peg.4425"	11.5	78	-1.23251025857791	0.997146427143128	-2.76184026280524
"fig|1185660.4.peg.2380"	9	170	-1.46670625765716	0.997140491806414	-4.23946593469539
"fig|1185660.4.peg.3095"	32.5	136.5	-1.20995097306659	0.99713490439673	-2.0703893278914
"fig|1185660.4.peg.365"	26.5	92.5	-1.23322942895124	0.997120741804571	-1.80346100595311
"xanmn_chr05_0129"	23.5	128.5	-1.44518671851217	0.997114050331775	-2.45103569751624
"fig|1185660.4.peg.2280"	129.5	499	-1.20902000343025	0.997090211780391	-1.94608771765071
"fig|1185660.4.peg.2187"	328.5	990	-1.86946000451309	0.997086589423021	-1.59153515464464
"xanmn_chr06_0182"	1.75	40	-1.27597531709495	0.997063516522442	-4.51457317282976
"fig|1185660.4.peg.2569"	3	81.5	-1.87110029990922	0.997047392524111	-4.76376565350992
"fig|1185660.4.peg.2264"	14	677	-1.87242538905414	0.997046267277436	-5.59565710151739
"fig|1185660.4.peg.438"	53.5	251	-1.23674031821527	0.996971818578535	-2.23007656754963
"fig|1185660.4.peg.882"	11.5	63.5	-1.20664927215767	0.996957565153222	-2.46512273071515
"fig|1185660.4.peg.3561"	1.5	19	-1.20659214646895	0.9969540455338	-3.66296501272243
"fig|1185660.4.peg.950"	12.75	156	-1.23772152268565	0.99692622310989	-3.61297687689075
"fig|1185660.4.peg.4009"	67	244.5	-1.27423697788038	0.996920140496051	-1.86760146449446
"fig|1185660.4.peg.3605"	149	412.5	-1.23848655441171	0.996890573855209	-1.46908178867102
"xanmn_chr03_0223"	6	37	-1.2738541561375	0.99688919985404	-2.62449086490779
"fig|1185660.4.peg.4438"	5	62.5	-1.46322812958234	0.996862039234198	-3.64385618977472
"xanmn_chr11_0060"	15.5	83	-1.2047126629074	0.996831977898159	-2.42084312096005
"fig|1185660.4.peg.1976"	74.5	229	-1.04971756945224	0.996829367407138	-1.62003526763478
"xanmn_chr06_0486"	41.5	164	-1.04847585497649	0.99682912204947	-1.98251257327116
"fig|1185660.4.peg.505"	121.5	345.5	-1.04801748008562	0.996825755511749	-1.50772939678248
"fig|1185660.4.peg.3330"	8.5	41.5	-1.04797534731025	0.996825446266717	-2.28757659009659
"xanmn_chr06_0099"	3	15.5	-1.04749770446103	0.996821942821448	-2.36923380966572
"xanmn_chr12_0089"	1	3	-1.04698152309593	0.996818161540626	-1.58496250072116
"fig|1185660.4.peg.3315"	36	160	-1.04555428788365	0.996791489903723	-2.15200309344505
"fig|1185660.4.peg.2285"	88	408.5	-1.0530335661951	0.996781927402775	-2.21476064950839
"xanmn_unk10_0047"	9	61	-1.05332707760611	0.996774644393106	-2.76081233612057
"fig|1185660.4.peg.2979"	6548.5	14688	-1.20379259346349	0.996764274663222	-1.16540157811542
"fig|1185660.4.peg.1933"	14.5	88.5	-1.24101457626549	0.996764137816193	-2.60962455495543
"fig|1185660.4.peg.3091"	14.5	88.5	-1.24101457626549	0.996764137816193	-2.60962455495543
"fig|1185660.4.peg.3527"	14.5	88.5	-1.24101457626549	0.996764137816193	-2.60962455495543
"fig|1185660.4.peg.4554"	14.5	88.5	-1.24101457626549	0.996764137816193	-2.60962455495543
"xanmn_chr12_0054"	2	6	-1.0543446636093	0.996749352405638	-1.58496250072116
"fig|1185660.4.peg.1000"	3263.5	5893.5	-1.04354763928767	0.996737402738525	-0.85270462921581
"fig|1185660.4.peg.1802"	426.5	665	-1.05555443465674	0.996708786711309	-0.640808599070262
"fig|1185660.4.peg.132"	29.5	119	-1.04259596761077	0.996697086250146	-2.0121747139461
"fig|1185660.4.peg.770"	33.5	191.5	-1.45151509117689	0.996692454764106	-2.51511139146718
"xanmn_chr10_0433"	51	193	-1.45991668345599	0.996680006470388	-1.92003169529658
"fig|1185660.4.peg.3727"	477	1274.5	-1.45936328657911	0.996656037717306	-1.41787020201669
"fig|1185660.4.peg.456"	733	1128.5	-1.04142984242942	0.996647820729006	-0.622521315058024
"fig|1185660.4.peg.2611"	709	1140.5	-1.04126416790794	0.996640833563546	-0.685808914072621
"fig|1185660.4.peg.2368"	17	196.5	-1.45339774872215	0.996621621260868	-3.53092266100827
"xanmn_chr06_0476"	1	6	-1.05779869552232	0.996621079220491	-2.58496250072116
"xanmn_chr15_0076"	167	431	-1.24386957370347	0.996617828576435	-1.36783976661505
"fig|1185660.4.peg.4452"	10	85.5	-1.45403308826568	0.996614392071549	-3.09592441999854
"fig|1185660.4.peg.2592"	2153	6927	-1.457354072478	0.996610896346864	-1.68588235432804
"fig|1185660.4.peg.2253"	2.5	87.5	-1.45617381562724	0.996593138361125	-5.12928301694497
"fig|1185660.4.peg.3855"	46.5	264	-1.2449006409824	0.996565937745074	-2.50523530825042
"fig|1185660.4.peg.2497"	122.5	336.5	-1.03961964700555	0.996553552698885	-1.45782475560775
"fig|1185660.4.peg.3417"	573	1204	-1.20113521176996	0.996553076325746	-1.0712283480028
"xanmn_chr06_0376"	11.5	77	-1.05941286795058	0.996546137767447	-2.74322458463789
"fig|1185660.4.peg.432"	12	70.5	-1.24535672699405	0.996543299462188	-2.55458885167764
"fig|1185660.4.peg.274"	482.5	797.5	-1.03940429162278	0.996541288444637	-0.724955576496789
"fig|1185660.4.peg.3818"	30.5	114.5	-1.05961298232288	0.996536825723363	-1.90846645053406
"xanmn_pla01_0001"	1135.5	1641	-1.24565574725459	0.99652843906172	-0.531247532806825
"xanmn_chr03_0508"	0.5	9.5	-1.24573888744195	0.996524304677333	-4.24792751344359
"xanmn_chr15_0236"	12.5	41	-1.03895793683192	0.996515891055451	-1.71369581484336
"fig|1185660.4.peg.651"	30.5	103.5	-1.24626429876147	0.996498151199859	-1.76274961993644
"fig|1185660.4.peg.4344"	326	611.5	-1.2682537792759	0.99648019936311	-0.907480534296309
"fig|1185660.4.peg.3942"	1	8.5	-1.03830556959702	0.996478825018773	-3.08746284125034
"fig|1185660.4.peg.4437"	3.5	34	-1.24696247420765	0.996463328691463	-3.28010791919274
"xanmn_unk08_0006"	5.5	57.5	-1.03737672408848	0.996418474787371	-3.38605843230708
"fig|1185660.4.peg.1200"	7.5	52.5	-1.24804316408701	0.996415152440817	-2.8073549220576
"fig|1185660.4.peg.1212"	3	16.5	-1.03693691936444	0.9963884823651	-2.4594316186373
"fig|1185660.4.peg.2407"	515.5	945.5	-1.06280118016867	0.996376673936762	-0.875105030581653
"fig|1185660.4.peg.3920"	20	93.5	-1.19900542626928	0.996364795920497	-2.22496636500027
"xanmn_chr06_0497"	0.5	5	-1.03652116973821	0.99636016232295	-3.32192809488736
"xanmn_chr05_0006"	50	212	-1.24990207138291	0.99633333096951	-2.08406426478847
"xanmn_chr14_0028"	7.5	29.5	-1.1985272351336	0.996319356535437	-1.97575245375332
"xanmn_chr02_0131"	8	54.5	-1.25063706129072	0.996306965648578	-2.76818432477693
"xanmn_chr03_0230"	3114.5	5011	-1.26497628521505	0.996306257799136	-0.686097965343157
"fig|1185660.4.peg.4096"	4	38	-1.06417715778671	0.996305873329642	-3.24792751344359
"fig|1185660.4.peg.1950"	1	15.5	-1.25067146854055	0.996305729838386	-3.95419631038688
"fig|1185660.4.peg.1955"	3	43	-1.25075078622792	0.996302880439673	-3.84130225398094
"fig|1185660.4.peg.3087"	3	43	-1.25075078622792	0.996302880439673	-3.84130225398094
"fig|1185660.4.peg.4583"	3	43	-1.25075078622792	0.996302880439673	-3.84130225398094
"fig|1185660.4.peg.3921"	9	57	-1.25098981958234	0.996294288929387	-2.66296501272243
"xanmn_chr03_0277"	37.5	153.5	-1.25123912226497	0.996285321095978	-2.0332761548743
"fig|1185660.4.peg.1100"	20	111.5	-1.26370659533507	0.996250483110701	-2.47897180503294
"fig|1185660.4.peg.1153"	10.5	61	-1.0349058176724	0.996247963384646	-2.53841991478413
"fig|1185660.4.peg.4528"	19	59	-1.06534048684409	0.996245854928672	-1.63471553591826
"xanmn_chr03_0603"	79	216	-1.03487516773093	0.996245667917713	-1.45110675398637
"xanmn_chr08_0015"	4	35.5	-1.06581890315032	0.996221121681252	-3.14974711950468
"xanmn_unk08_0007"	3	36.5	-1.25333282959513	0.996219215303828	-3.60486205815886
"fig|1185660.4.peg.1207"	12.5	52.5	-1.26177304931174	0.996195967453255	-2.0703893278914
"fig|1185660.4.peg.3898"	367.5	740	-1.25574032425284	0.996168889795644	-1.00978102079259
"fig|1185660.4.peg.2402"	110.5	341.5	-1.25617944244274	0.996165400586887	-1.62783920889866
"xanmn_pla01_0004"	110.5	903	-1.25863198004863	0.99615317009267	-3.03067961808943
"fig|1185660.4.peg.1678"	18.25	384.5	-1.25827593850886	0.996150073267123	-4.39701522908181
"fig|1185660.4.peg.1282"	4	12.5	-1.03354369093273	0.996146129718393	-1.64385618977472
"fig|1185660.4.peg.1595"	3	22	-1.03343822833839	0.996138260594892	-2.87446911791614
"xanmn_chr13_0303"	1.75	22.5	-1.06837646921797	0.9960968666646	-3.68449817427207
"fig|1185660.4.peg.2868"	12	49	-1.03262135815551	0.996077384039609	-2.02974734339405
"xanmn_chr02_0125"	18.5	89.5	-1.19563054728849	0.996035908084058	-2.27436241163531
"fig|1185660.4.peg.1001"	4092.5	8348.5	-1.07103942840328	0.995984000414031	-1.02853459083221
"fig|1185660.4.peg.3538"	4.5	43	-1.19482802955831	0.995954335906446	-3.25633975325979
"fig|1185660.4.peg.337"	260	18	1.28460604118414	0.995824267999223	3.85244281158614
"fig|1185660.4.peg.3097"	2.5	18.5	-1.07653375792345	0.995817303459737	-2.88752527074159
"fig|1185660.4.peg.2810"	6.5	65	-1.07683111132411	0.99581007051312	-3.32192809488736
"fig|1185660.4.peg.611"	1.5	12	-1.07749444768238	0.995798267053495	-3
"fig|1185660.4.peg.3842"	14	62	-1.09527102968041	0.995797073222417	-2.14684138832927
"fig|1185660.4.peg.2859"	78.5	225	-1.09391075887986	0.995794434657448	-1.51916044232541
"fig|1185660.4.peg.1196"	5	35.5	-1.09826602122366	0.995791600843352	-2.82781902461732
"fig|1185660.4.peg.362"	6	46.5	-1.09249713159013	0.995786910648373	-2.95419631038688
"fig|1185660.4.peg.84"	820.5	1600	-1.09172007682414	0.99578250285132	-0.963496666261012
"fabH_"	664.5	1358	-1.09069254454515	0.995776383147253	-1.03114237496856
"xanmn_chr13_0323"	11.5	73	-1.08924634110172	0.995766731573444	-2.666262602823
"fig|1185660.4.peg.1033"	97	275	-1.0891671874391	0.995766204307301	-1.50337496622489
"xanmn_chr14_0088"	9.5	40.5	-1.08088586303995	0.995757187654459	-2.09192248944104
"fabH3_"	135.5	640	-1.08580674021222	0.995748439464622	-2.23977905353349
"fig|1185660.4.peg.3656"	12	67	-1.0837803368951	0.995746001887635	-2.48112668973662
"fig|1185660.4.peg.1368"	129	286.5	-1.08373952983227	0.995745987400112	-1.15116407333365
"fig|1185660.4.peg.2254"	3.5	30.5	-1.08364864207193	0.995745955137902	-3.12338241550528
"fig|1185660.4.peg.999"	14539	30097	-1.08334968729833	0.995745849069327	-1.04969164626266
"fig|1185660.4.peg.847"	883	1539.5	-1.0828182489032	0.995745660707703	-0.801976524396351
"fig|1185660.4.peg.2848"	17.5	102	-1.0282268915328	0.995739613735572	-2.54314232502653
"xanmn_chr03_0320"	3.5	15	-1.10266647794287	0.995732137868925	-2.09953567355091
"fig|1185660.4.peg.2381"	12	49.5	-1.1047051596429	0.995679382615138	-2.04439411935845
"fig|1185660.4.peg.3316"	20.5	123	-1.10582459927085	0.995637378855333	-2.58496250072116
"fig|1185660.4.peg.3367"	3100.5	5154	-1.0262335289112	0.995592045302146	-0.733191647713016
"fig|1185660.4.peg.1019"	1402	2912	-1.19113679650126	0.995565045044843	-1.05452400618807
"fig|1185660.4.peg.60"	7	46	-1.10781597550937	0.995555300185757	-2.71620703399941
"fig|1185660.4.peg.2202"	59	162.5	-1.02551853633851	0.995541468194968	-1.46165285855398
"fig|1185660.4.peg.4193"	2.5	13.5	-1.0247340763092	0.995486089471346	-2.43295940727611
"fig|1185660.4.peg.836"	15	63.5	-1.19013290014712	0.995456987118252	-2.08179409116365
"fig|1185660.4.peg.1937"	3	34.5	-1.11024046407864	0.995421321662586	-3.52356195605701
"fig|1185660.4.peg.2919"	4	15.5	-1.02360698311633	0.995410855013474	-1.95419631038688
"xanmn_chr03_0504"	4	13.5	-1.11052227220587	0.99540529262777	-1.75488750216347
"fig|1185660.4.peg.2921"	64	174.5	-1.1108907007235	0.995379572390108	-1.44708322620965
"fig|1185660.4.peg.2219"	3.5	34	-1.18907290249174	0.995343220429627	-3.28010791919274
"fig|1185660.4.peg.3110"	2	21.5	-1.11142632496964	0.99534213882927	-3.4262647547021
"fig|1185660.4.peg.1218"	6	46.5	-1.11222650218743	0.995286124954725	-2.95419631038688
"fig|1185660.4.peg.3847"	6	46.5	-1.11222650218743	0.995286124954725	-2.95419631038688
"xanmn_chr03_0300"	9.5	40	-1.11378933536492	0.995168677513942	-2.07400058144378
"fig|1185660.4.peg.2122"	24	65	-1.0191098804537	0.99515406101569	-1.4374053123073
"fig|1185660.4.peg.4100"	21.5	75	-1.01728916187016	0.995073059868326	-1.80255393579378
"xanmn_chr05_0276"	0.5	12.25	-1.11495725253832	0.995068623051381	-4.61470984411521
"fig|1185660.4.peg.925"	36.5	114	-1.01628219582559	0.995031917589449	-1.64306545528472
"fig|1185660.4.peg.2556"	647.5	1185	-1.11591171991464	0.994986641983657	-0.871934961211705
"fig|1185660.4.peg.1901"	206.5	410.5	-1.014771191051	0.994980788077019	-0.99124044035836
"fig|1185660.4.peg.3444"	218	445.5	-1.11696474160854	0.994885792615681	-1.031097296745
"xanmn_chr06_0298"	77	183	-1.01081008755015	0.994881918571028	-1.24891329758914
"xanmn_chr03_0594"	16	81.5	-1.0101250564539	0.994868092582412	-2.34872815423108
"fig|1185660.4.peg.4326"	232	484	-1.11732279099819	0.994850841076414	-1.06088224214702
"fig|1185660.4.peg.4491"	4.5	28.5	-1.00563316146931	0.99481878548622	-2.66296501272243
"xanmn_chr02_0104"	149.5	388.5	-1.00553049882991	0.994817938808242	-1.3777691142096
"fig|1185660.4.peg.435"	14	61.5	-1.00452163142148	0.994809746915859	-2.13515958328164
"fig|1185660.4.peg.2405"	182	441	-1.11779573460862	0.994804626920962	-1.27684020535882
"fig|1185660.4.peg.2542"	81	267	-1.00268686784092	0.994797486669279	-1.72084592880293
"fig|1185660.4.peg.724"	30.5	79.5	-1.00202072146093	0.99479305126965	-1.38214561772147
"fig|1185660.4.peg.4432"	7.5	70.5	-1.11804829277344	0.994779925987911	-3.23266075679027
"fig|1185660.4.peg.256"	42.5	166	-1.11806272913286	0.994778513607021	-1.96564849520922
"fig|1185660.4.peg.1538"	8	69.5	-0.998608237907168	0.99476085677407	-3.11894107272351
"fig|1185660.4.peg.3648"	113	287	-0.998585503737027	0.994760531448472	-1.3447279642605
"fig|1185660.4.peg.2213"	10.5	31.5	-0.998516665276139	0.994759546502618	-1.58496250072116
"fig|1185660.4.peg.4196"	14	44.5	-0.995192185339277	0.994702436563284	-1.66837850890879
"xanmn_chr13_0031"	16	65.5	-0.994902482602203	0.994695628156616	-2.03342300153745
"xanmn_chr05_0157"	15.5	75.5	-1.1189708804331	0.994688498347941	-2.2842084289382
"fig|1185660.4.peg.1932"	5	41	-0.992864844444416	0.994640611269053	-3.03562390973072
"xanmn_chr11_0170"	14	77	-0.992063058639424	0.994611944636345	-2.4594316186373
"fig|1185660.4.peg.1724"	1.5	9	-0.99155810605635	0.99459392565052	-2.58496250072116
"fig|1185660.4.peg.2505"	129.5	374.5	-1.11996429945943	0.994581879082375	-1.5320136207722
"xanmn_unk11_0016"	12.75	102.5	-0.990824153652885	0.994567782766223	-3.00705475753395
"fig|1185660.4.peg.1482"	3039.5	5856.5	-1.12022884927966	0.994553442255774	-0.946204710507989
"fig|1185660.4.peg.499"	2	6.5	-0.990125078218207	0.994535375795679	-1.70043971814109
"fig|1185660.4.peg.2947"	23.5	87.5	-1.12060574301382	0.994512897496405	-1.89662226015469
"xanmn_chr05_0277"	2	14	-0.988124578209767	0.994436579667651	-2.8073549220576
"fig|1185660.4.peg.1136"	60.5	256	-1.17847365379187	0.994281288640936	-2.08113676272541
"fig|1185660.4.peg.3721"	314	637.5	-0.985583476911948	0.994270054560311	-1.02166078285459
"catB"	4.5	20	-0.985043100133439	0.994233019035759	-2.15200309344505
