#A_id	B_id	A_length	B_length	A_qcovhsp	B_qcovhsp	length	pident	bitscore
fig|1185660.4.peg.976	lcl|lolB-xanmn_chr03_0646	651	651	100	100	651	100.000	1175
fig|1185660.4.peg.977	lcl|ispE-xanmn_chr03_0647	870	888	100	98	870	100.000	1570
fig|1185660.4.peg.978	lcl|xanmn_chr03_0649-xanmn_chr03_0649	960	960	100	100	960	100.000	1732
fig|1185660.4.peg.979	lcl|rplY-xanmn_chr03_0651	636	636	100	100	636	100.000	1148
fig|1185660.4.peg.980	lcl|pth-xanmn_chr03_0652	585	585	100	100	585	100.000	1056
fig|1185660.4.peg.981	lcl|ychF-xanmn_chr03_0653	1092	1092	100	100	1092	100.000	1970
fig|1185660.4.peg.982	lcl|tuf-xanmn_chr03_0654	1191	1191	100	100	1191	100.000	2149
fig|1185660.4.peg.983	lcl|xanmn_chr03_0655-xanmn_chr03_0655	312	408	100	76	312	100.000	563
fig|1185660.4.peg.984	lcl|xanmn_chr03_0656-xanmn_chr03_0656	558	558	100	100	558	100.000	1007
fig|1185660.4.peg.986	lcl|rplK-xanmn_chr03_0657	429	429	100	100	429	100.000	774
fig|1185660.4.peg.987	lcl|rplA-xanmn_chr03_0658	699	699	100	100	699	100.000	1261
fig|1185660.4.peg.988	lcl|rplJ-xanmn_chr03_0661	534	534	100	100	534	100.000	964
fig|1185660.4.peg.989	lcl|rplL-xanmn_chr03_0662	366	366	100	100	366	100.000	661
fig|1185660.4.peg.990	lcl|xanmn_chr03_0663-xanmn_chr03_0663	4152	4152	100	100	4152	100.000	7488
fig|1185660.4.peg.991	lcl|xanmn_chr03_0664-xanmn_chr03_0664	4215	4215	100	100	4215	100.000	7602
fig|1185660.4.peg.992	lcl|rpsL-xanmn_chr03_0665	375	375	100	100	375	100.000	677
fig|1185660.4.peg.993	lcl|rpsG-xanmn_chr03_0666	468	468	100	100	468	100.000	845
fig|1185660.4.peg.995	lcl|fusA-xanmn_chr03_0667	2118	2118	100	100	2118	100.000	3820
fig|1185660.4.peg.996	lcl|tuf-xanmn_chr03_0668	1191	1191	100	100	1191	100.000	2149
fig|1185660.4.peg.997	lcl|xanmn_chr03_0669-xanmn_chr03_0669	177	168	95	100	168	100.000	304
fig|1185660.4.peg.998	lcl|xanmn_chr03_0670-xanmn_chr03_0670	675	675	100	100	675	100.000	1218
fig|1185660.4.peg.999	lcl|rpsJ-xanmn_chr03_0672	312	312	100	100	312	100.000	563
fig|1185660.4.peg.1000	lcl|rplC-xanmn_chr03_0673	651	651	100	100	651	100.000	1175
fig|1185660.4.peg.1001	lcl|rplD-xanmn_chr03_0674	606	606	100	100	606	100.000	1094
fig|1185660.4.peg.1002	lcl|rplW-xanmn_chr03_0675	315	300	95	100	300	100.000	542
fig|1185660.4.peg.1003	lcl|rplB-xanmn_chr03_0676	828	828	100	100	828	100.000	1494
fig|1185660.4.peg.1004	lcl|rpsS-xanmn_chr03_0677	270	270	100	100	270	100.000	488
fig|1185660.4.peg.1005	lcl|rplV-xanmn_chr03_0678	336	342	100	98	336	100.000	607
fig|1185660.4.peg.1006	lcl|rpsC-xanmn_chr03_0679	735	735	100	100	735	100.000	1326
fig|1185660.4.peg.1007	lcl|rplP-xanmn_chr03_0680	414	414	100	100	414	100.000	747
fig|1185660.4.peg.1008	lcl|rpmC-xanmn_chr03_0681	186	186	100	100	186	100.000	336
fig|1185660.4.peg.1009	lcl|rpsQ-xanmn_chr03_0682	270	270	100	100	270	100.000	488
fig|1185660.4.peg.1010	lcl|rplN-xanmn_chr03_0683	369	369	100	100	369	100.000	666
fig|1185660.4.peg.1011	lcl|rplX-xanmn_chr03_0684	318	318	100	100	318	100.000	574
fig|1185660.4.peg.1012	lcl|rplE-xanmn_chr03_0685	543	543	100	100	543	100.000	980
fig|1185660.4.peg.1013	lcl|rpsN-xanmn_chr03_0686	291	306	100	95	291	100.000	526
fig|1185660.4.peg.1014	lcl|rpsH-xanmn_chr03_0687	399	399	100	100	399	100.000	720
fig|1185660.4.peg.1015	lcl|rplF-xanmn_chr03_0688	528	528	100	100	528	100.000	953
fig|1185660.4.peg.1016	lcl|rplR-xanmn_chr03_0689	360	360	100	100	360	100.000	650
fig|1185660.4.peg.1017	lcl|rpsE-xanmn_chr03_0691	543	543	100	100	543	100.000	980
fig|1185660.4.peg.1018	lcl|rpmD-xanmn_chr03_0692	192	192	100	100	192	100.000	347
fig|1185660.4.peg.1019	lcl|rplO-xanmn_chr03_0693	444	444	100	100	444	100.000	801
fig|1185660.4.peg.1020	lcl|xanmn_chr03_0694-xanmn_chr03_0694	1365	1365	100	100	1365	100.000	2462
fig|1185660.4.peg.1021	lcl|rpsM-xanmn_chr03_0695	357	357	100	100	357	100.000	645
fig|1185660.4.peg.1022	lcl|rpsK-xanmn_chr03_0696	393	393	100	100	393	100.000	710
fig|1185660.4.peg.1023	lcl|rpsD-xanmn_chr03_0697	627	627	100	100	627	100.000	1131
fig|1185660.4.peg.1024	lcl|xanmn_chr03_0698-xanmn_chr03_0698	999	999	100	100	999	100.000	1802
fig|1185660.4.peg.1025	lcl|rplQ-xanmn_chr03_0699	384	384	100	100	384	100.000	693
fig|1185660.4.peg.1026	lcl|dsbB-xanmn_chr03_0700	663	519	78	100	519	100.000	937
fig|1185660.4.peg.1028	lcl|xanmn_chr03_0701-xanmn_chr03_0701	2064	2124	100	97	2064	100.000	3723
fig|1185660.4.peg.1029	lcl|xanmn_chr03_0702-xanmn_chr03_0702	189	189	100	100	189	100.000	342
fig|1185660.4.peg.1030	lcl|xanmn_chr03_0703-xanmn_chr03_0703	1398	1329	95	100	1329	100.000	2397
fig|1185660.4.peg.1031	lcl|xanmn_chr03_0704-xanmn_chr03_0704	1128	1128	100	100	1128	100.000	2035
fig|1185660.4.peg.1033	lcl|xanmn_chr03_0707-xanmn_chr03_0707	471	420	89	100	420	100.000	758
fig|1185660.4.peg.1034	lcl|xanmn_chr03_0708-xanmn_chr03_0708	1830	1830	100	100	1830	100.000	3301
fig|1185660.4.peg.1035	lcl|xanmn_chr03_0710-xanmn_chr03_0710	495	495	100	100	495	100.000	893
fig|1185660.4.peg.1036	lcl|mdh-xanmn_chr03_0711	987	987	100	100	987	100.000	1781
fig|1185660.4.peg.1037	lcl|gst2-xanmn_chr03_0712	615	615	100	100	615	100.000	1110
fig|1185660.4.peg.1038	lcl|xanmn_chr03_0714-xanmn_chr03_0714	462	462	100	100	462	100.000	834
fig|1185660.4.peg.1041	lcl|fadH-xanmn_chr03_0716	2040	2040	100	100	2040	100.000	3680
fig|1185660.4.peg.1043	lcl|xanmn_chr03_0717-xanmn_chr03_0717	1098	1098	100	100	1098	100.000	1981
fig|1185660.4.peg.1044	lcl|xanmn_chr03_0718-xanmn_chr03_0718	435	516	100	84	435	100.000	785
fig|1185660.4.peg.1045	lcl|xanmn_chr03_0721-xanmn_chr03_0721	1209	1209	100	100	1209	100.000	2181
fig|1185660.4.peg.1046	lcl|cysP-xanmn_chr03_0722	1017	1098	100	93	1017	100.000	1835
fig|1185660.4.peg.1047	lcl|CysU-xanmn_chr03_0723	855	861	100	99	855	100.000	1543
fig|1185660.4.peg.1048	lcl|xanmn_chr03_0724-xanmn_chr03_0724	954	954	100	100	954	100.000	1721
fig|1185660.4.peg.1049	lcl|cysA-xanmn_chr03_0725	1047	1047	100	100	1047	100.000	1889
fig|1185660.4.peg.1050	lcl|xanmn_chr03_0726-xanmn_chr03_0726	717	603	84	100	603	100.000	1088
fig|1185660.4.peg.1051	lcl|tdh-xanmn_chr03_0728	1035	1023	99	100	1023	100.000	1846
fig|1185660.4.peg.1052	lcl|xanmn_chr03_0730-xanmn_chr03_0730	2334	2424	100	96	2334	100.000	4210
fig|1185660.4.peg.1053	lcl|plcN-xanmn_chr03_0731	2256	2217	98	100	2217	100.000	3999
fig|1185660.4.peg.1055	lcl|xanmn_chr03_0733-xanmn_chr03_0733	645	645	100	100	645	100.000	1164
fig|1185660.4.peg.1056	lcl|xanmn_chr03_0734-xanmn_chr03_0734	294	525	100	56	294	100.000	531
fig|1185660.4.peg.1057	lcl|xanmn_chr03_0736-xanmn_chr03_0736	384	426	100	90	384	100.000	693
fig|1185660.4.peg.1059	lcl|xanmn_chr03_0738-xanmn_chr03_0738	747	747	100	100	747	100.000	1348
fig|1185660.4.peg.1060	lcl|purF-xanmn_chr03_0739	1467	1467	100	100	1467	100.000	2646
fig|1185660.4.peg.1062	lcl|xanmn_chr03_0740-xanmn_chr03_0740	825	867	100	95	825	100.000	1489
fig|1185660.4.peg.1063	lcl|xanmn_chr03_0742-xanmn_chr03_0742	1254	1254	100	100	1254	100.000	2262
fig|1185660.4.peg.1064	lcl|xanmn_chr03_0743-xanmn_chr03_0743	420	420	100	100	420	100.000	758
fig|1185660.4.peg.1066	lcl|xanmn_chr03_0744-xanmn_chr03_0744	930	744	80	100	744	100.000	1342
fig|1185660.4.peg.1067	lcl|xanmn_chr03_0746-xanmn_chr03_0746	519	417	80	100	417	100.000	753
fig|1185660.4.peg.1068	lcl|gtrB-xanmn_chr03_0747	1137	1137	100	100	1137	100.000	2051
fig|1185660.4.peg.1070	lcl|ppx-xanmn_chr03_0748	1521	1521	100	100	1521	100.000	2744
fig|1185660.4.peg.1071	lcl|ppk-xanmn_chr03_0749	2103	2103	100	100	2103	100.000	3793
fig|1185660.4.peg.1072	lcl|phoR-xanmn_chr03_0750	1329	1329	100	100	1329	100.000	2397
fig|1185660.4.peg.1073	lcl|PhoB-xanmn_chr03_0751	690	690	100	100	690	100.000	1245
fig|1185660.4.peg.1074	lcl|xanmn_chr03_0752-xanmn_chr03_0752	1707	1707	100	100	1707	100.000	3079
fig|1185660.4.peg.1075	lcl|xanmn_chr03_0753-xanmn_chr03_0753	309	369	100	84	309	100.000	558
fig|1185660.4.peg.1076	lcl|xanmn_chr03_0754-xanmn_chr03_0754	396	396	100	100	396	100.000	715
fig|1185660.4.peg.1077	lcl|xanmn_chr03_0756-xanmn_chr03_0756	1008	1008	100	100	1008	100.000	1819
fig|1185660.4.peg.1078	lcl|xanmn_chr03_0757-xanmn_chr03_0757	762	762	100	100	762	100.000	1375
fig|1185660.4.peg.1079	lcl|xanmn_chr03_0759-xanmn_chr03_0759	1848	1848	100	100	1848	100.000	3333
fig|1185660.4.peg.1080	lcl|xanmn_chr03_0760-xanmn_chr03_0760	1293	1293	100	100	1293	100.000	2333
fig|1185660.4.peg.1081	lcl|clpP-xanmn_chr03_0761	618	627	100	99	618	100.000	1115
fig|1185660.4.peg.1083	lcl|ClpX-xanmn_chr03_0762	1287	1287	100	100	1287	100.000	2322
fig|1185660.4.peg.1084	lcl|Lon-xanmn_chr03_0763	2472	2472	100	100	2472	100.000	4459
fig|1185660.4.peg.1085	lcl|hupB-xanmn_chr03_0764	273	273	100	100	273	100.000	493
fig|1185660.4.peg.1086	lcl|ppid-xanmn_chr03_0766	1971	1971	100	100	1971	100.000	3555
fig|1185660.4.peg.1087	lcl|mltD-xanmn_chr03_0768	1161	1176	100	99	1161	100.000	2094
fig|1185660.4.peg.1088	lcl|xanmn_chr03_0769-xanmn_chr03_0769	768	768	100	100	768	100.000	1386
fig|1185660.4.peg.1091	lcl|dnaQ-xanmn_chr03_0770	735	735	100	100	735	100.000	1326
fig|1185660.4.peg.1092	lcl|xanmn_chr03_0771-xanmn_chr03_0771	705	705	100	100	705	100.000	1272
fig|1185660.4.peg.1093	lcl|xanmn_chr03_0772-xanmn_chr03_0772	405	405	100	100	405	100.000	731
fig|1185660.4.peg.1094	lcl|opsX-xanmn_chr03_0774	1050	1050	100	100	1050	100.000	1894
fig|1185660.4.peg.1095	lcl|xanmn_chr03_0775-xanmn_chr03_0775	750	750	100	100	750	100.000	1353
fig|1185660.4.peg.1096	lcl|xanmn_chr03_0776-xanmn_chr03_0776	750	750	100	100	750	100.000	1353
fig|1185660.4.peg.1097	lcl|xanmn_chr03_0777-xanmn_chr03_0777	1032	1032	100	100	1032	100.000	1862
fig|1185660.4.peg.1099	lcl|xanmn_chr03_0778-xanmn_chr03_0778	438	498	100	88	438	100.000	791
fig|1185660.4.peg.1100	lcl|xanmn_chr03_0779-xanmn_chr03_0779	246	246	100	100	246	100.000	444
fig|1185660.4.peg.1101	lcl|xanmn_chr03_0780-xanmn_chr03_0780	441	441	100	100	441	100.000	796
fig|1185660.4.peg.1104	lcl|xanmn_chr03_0781-xanmn_chr03_0781	174	282	98	61	171	100.000	309
fig|1185660.4.peg.1106	lcl|xanmn_chr03_0783-xanmn_chr03_0783	1293	1413	100	92	1293	100.000	2333
fig|1185660.4.peg.1107	lcl|xanmn_chr03_0039-xanmn_chr03_0039	282	321	100	88	282	100.000	509
fig|1185660.4.peg.1108	lcl|xanmn_chr03_0040-xanmn_chr03_0040	552	552	100	100	552	100.000	996
fig|1185660.4.peg.1109	lcl|xanmn_chr03_0041-xanmn_chr03_0041	453	420	93	100	420	100.000	758
fig|1185660.4.peg.1110	lcl|aspH-xanmn_chr03_0042	906	906	100	100	906	100.000	1635
fig|1185660.4.peg.1111	lcl|BioC-xanmn_chr03_0043	885	885	100	100	885	100.000	1597
fig|1185660.4.peg.1112	lcl|xanmn_chr03_0044-xanmn_chr03_0044	783	783	100	100	783	100.000	1413
fig|1185660.4.peg.1113	lcl|xanmn_chr03_0045-xanmn_chr03_0045	933	762	82	100	762	100.000	1375
fig|1185660.4.peg.1114	lcl|xanmn_chr03_0047-xanmn_chr03_0047	1206	1206	100	100	1206	100.000	2176
fig|1185660.4.peg.1115	lcl|BioB-xanmn_chr03_0048	1035	1035	100	100	1035	100.000	1867
fig|1185660.4.peg.1116	lcl|xanmn_chr03_0049-xanmn_chr03_0049	282	282	100	100	282	100.000	509
fig|1185660.4.peg.1117	lcl|xanmn_chr03_0785-xanmn_chr03_0785	528	528	100	100	528	100.000	953
fig|1185660.4.peg.1122	lcl|xanmn_chr03_0789-xanmn_chr03_0789	1347	1596	86	73	1164	100.000	2100
fig|1185660.4.peg.1124	lcl|xanmn_chr03_0790-xanmn_chr03_0790	342	342	100	100	342	100.000	618
fig|1185660.4.peg.1125	lcl|xanmn_chr03_0791-xanmn_chr03_0791	681	681	100	100	681	100.000	1229
fig|1185660.4.peg.1126	lcl|xanmn_chr03_0792-xanmn_chr03_0792	1476	1536	100	96	1476	100.000	2663
fig|1185660.4.peg.1128	lcl|xanmn_chr03_0795-xanmn_chr03_0795	321	321	100	100	321	100.000	580
fig|1185660.4.peg.1129	lcl|recR-xanmn_chr03_0796	594	594	100	100	594	100.000	1072
fig|1185660.4.peg.1130	lcl|xanmn_chr03_0797-xanmn_chr03_0797	351	351	100	100	351	100.000	634
fig|1185660.4.peg.1131	lcl|slp-xanmn_chr03_0798	534	534	100	100	534	100.000	964
fig|1185660.4.peg.1134	lcl|xanmn_chr03_0799-xanmn_chr03_0799	954	954	100	100	954	100.000	1721
fig|1185660.4.peg.1135	lcl|xanmn_chr03_0800-xanmn_chr03_0800	1881	1869	99	100	1869	100.000	3371
fig|1185660.4.peg.1136	lcl|xanmn_chr03_0801-xanmn_chr03_0801	165	165	100	100	165	100.000	298
fig|1185660.4.peg.1137	lcl|xanmn_chr03_0802-xanmn_chr03_0802	576	573	99	100	573	100.000	1034
fig|1185660.4.peg.1138	lcl|xanmn_chr03_0803-xanmn_chr03_0803	471	471	100	100	471	100.000	850
fig|1185660.4.peg.1139	lcl|rpmF-xanmn_chr03_0804	195	195	100	100	195	100.000	352
fig|1185660.4.peg.1140	lcl|xanmn_chr03_0805-xanmn_chr03_0805	978	978	100	100	978	100.000	1764
fig|1185660.4.peg.1142	lcl|fabD-xanmn_chr03_0806	945	945	100	100	945	100.000	1705
fig|1185660.4.peg.1143	lcl|fabG1-xanmn_chr03_0807	744	744	100	100	744	100.000	1342
fig|1185660.4.peg.1144	lcl|acpP-xanmn_chr03_0808	420	240	57	100	240	100.000	434
fig|1185660.4.peg.1145	lcl|fabF1-xanmn_chr03_0809	1236	1236	100	100	1236	100.000	2230
fig|1185660.4.peg.1146	lcl|trpE-xanmn_chr03_0810	1356	1356	100	100	1356	100.000	2446
fig|1185660.4.peg.1149	lcl|pilZ-xanmn_chr03_0811	345	354	100	97	345	100.000	623
fig|1185660.4.peg.1151	lcl|xanmn_chr03_0813-xanmn_chr03_0813	327	327	100	100	327	100.000	590
fig|1185660.4.peg.1152	lcl|prpR-xanmn_chr03_0815	1680	1620	96	100	1620	100.000	2922
fig|1185660.4.peg.1153	lcl|prpB-xanmn_chr03_0816	891	891	100	100	891	100.000	1608
fig|1185660.4.peg.1154	lcl|prpC-xanmn_chr03_0817	1155	1155	100	100	1155	100.000	2084
fig|1185660.4.peg.1155	lcl|acnA-xanmn_chr03_0818	2595	2595	100	100	2595	100.000	4681
fig|1185660.4.peg.1157	lcl|xanmn_chr03_0819-xanmn_chr03_0819	1200	1200	100	100	1200	100.000	2165
fig|1185660.4.peg.1159	lcl|xanmn_chr03_0820-xanmn_chr03_0820	2469	2220	90	100	2220	100.000	4004
fig|1185660.4.peg.1160	lcl|xanmn_chr03_0821-xanmn_chr03_0821	1008	978	97	100	978	100.000	1764
fig|1185660.4.peg.1162	lcl|xanmn_chr03_0822-xanmn_chr03_0822	4923	4902	99	100	4902	100.000	8841
fig|1185660.4.peg.1163	lcl|xanmn_chr03_0823-xanmn_chr03_0823	2988	2988	100	100	2988	100.000	5389
fig|1185660.4.peg.1164	lcl|xanmn_chr03_0824-xanmn_chr03_0824	951	951	100	100	951	100.000	1716
fig|1185660.4.peg.1166	lcl|xanmn_chr03_0825-xanmn_chr03_0825	429	423	99	100	423	100.000	764
fig|1185660.4.peg.1167	lcl|pbpC-xanmn_chr03_0826	2391	2391	100	100	2391	100.000	4313
fig|1185660.4.peg.1168	lcl|xanmn_chr03_0827-xanmn_chr03_0827	561	561	100	100	561	100.000	1012
fig|1185660.4.peg.1169	lcl|xanmn_chr03_0828-xanmn_chr03_0828	483	483	100	100	483	100.000	872
fig|1185660.4.peg.1170	lcl|xanmn_chr03_0829-xanmn_chr03_0829	477	477	100	100	477	100.000	861
fig|1185660.4.peg.1171	lcl|dnaJ-xanmn_chr03_0831	456	582	100	78	456	100.000	823
fig|1185660.4.peg.1172	lcl|pilH-xanmn_chr03_0832	387	387	100	100	387	100.000	699
fig|1185660.4.peg.1173	lcl|hflK-xanmn_chr03_0834	1128	1128	100	100	1128	100.000	2035
fig|1185660.4.peg.1174	lcl|hflC-xanmn_chr03_0835	864	864	100	100	864	100.000	1559
fig|1185660.4.peg.1175	lcl|xanmn_chr03_0836-xanmn_chr03_0836	1185	1110	94	100	1110	100.000	2003
fig|1185660.4.peg.1176	lcl|xanmn_chr03_0837-xanmn_chr03_0837	162	186	100	87	162	100.000	293
fig|1185660.4.peg.1178	lcl|purA-xanmn_chr03_0840	1293	1293	100	100	1293	100.000	2333
fig|1185660.4.peg.1179	lcl|xanmn_chr03_0841-xanmn_chr03_0841	1227	1227	100	100	1227	100.000	2214
fig|1185660.4.peg.1181	lcl|xanmn_chr03_0843-xanmn_chr03_0843	186	219	100	85	186	100.000	336
fig|1185660.4.peg.1182	lcl|xanmn_chr03_0845-xanmn_chr03_0845	714	714	100	100	714	100.000	1288
fig|1185660.4.peg.1183	lcl|xanmn_chr03_0846-xanmn_chr03_0846	591	591	100	100	591	100.000	1067
fig|1185660.4.peg.1184	lcl|xanmn_chr03_0847-xanmn_chr03_0847	636	918	100	69	636	100.000	1148
fig|1185660.4.peg.1185	lcl|xanmn_chr03_0848-xanmn_chr03_0848	1362	1668	100	82	1366	99.707	2441
fig|1185660.4.peg.1187	lcl|xanmn_chr03_0853-xanmn_chr03_0853	267	267	100	100	267	100.000	482
fig|1185660.4.peg.1188	lcl|xanmn_pla04_0001-xanmn_pla04_0001	123	72	59	100	72	100.000	131
fig|1185660.4.peg.1189	lcl|xanmn_chr03_0855-xanmn_chr03_0855	210	210	100	100	210	100.000	379
fig|1185660.4.peg.1190	lcl|xanmn_chr03_0857-xanmn_chr03_0857	1554	1554	100	100	1554	100.000	2803
fig|1185660.4.peg.1191	lcl|xanmn_chr03_0858-xanmn_chr03_0858	267	459	100	58	267	100.000	482
fig|1185660.4.peg.1192	lcl|xanmn_chr03_0859-xanmn_chr03_0859	504	504	100	100	504	100.000	910
fig|1185660.4.peg.1194	lcl|xanmn_chr03_0861-xanmn_chr03_0861	381	234	61	100	234	100.000	423
fig|1185660.4.peg.1195	lcl|xanmn_chr03_0862-xanmn_chr03_0862	774	567	73	100	567	100.000	1023
fig|1185660.4.peg.1196	lcl|xanmn_chr03_0863-xanmn_chr03_0863	774	780	100	99	774	100.000	1397
fig|1185660.4.peg.1197	lcl|xanmn_chr03_0864-xanmn_chr03_0864	870	870	100	100	870	100.000	1570
fig|1185660.4.peg.1198	lcl|xanmn_chr03_0866-xanmn_chr03_0866	1500	1479	99	100	1479	100.000	2668
fig|1185660.4.peg.1199	lcl|xanmn_chr03_0867-xanmn_chr03_0867	1806	1806	100	100	1806	100.000	3258
fig|1185660.4.peg.1200	lcl|xanmn_chr03_0868-xanmn_chr03_0868	903	903	100	100	903	100.000	1629
fig|1185660.4.peg.1202	lcl|xanmn_chr03_0869-xanmn_chr03_0869	2286	2283	97	97	2214	100.000	3993
fig|1185660.4.peg.1204	lcl|xanmn_chr03_0871-xanmn_chr03_0871	738	630	85	100	630	100.000	1137
fig|1185660.4.peg.1205	lcl|xanmn_chr03_0872-xanmn_chr03_0872	309	273	72	81	221	100.000	399
fig|1185660.4.peg.1207	lcl|xanmn_chr03_0873-xanmn_chr03_0873	306	306	100	100	306	100.000	553
fig|1185660.4.peg.1208	lcl|xanmn_chr03_0874-xanmn_chr03_0874	747	747	100	100	747	100.000	1348
fig|1185660.4.peg.1209	lcl|xanmn_chr03_0875-xanmn_chr03_0875	639	639	100	100	639	100.000	1153
fig|1185660.4.peg.1210	lcl|xanmn_chr03_0876-xanmn_chr03_0876	135	135	100	100	135	100.000	244
fig|1185660.4.peg.1212	lcl|xanmn_chr03_0877-xanmn_chr03_0877	2298	2298	100	100	2298	100.000	4145
fig|1185660.4.peg.1214	lcl|xanmn_chr03_0878-xanmn_chr03_0878	579	579	100	100	579	100.000	1045
fig|1185660.4.peg.1216	lcl|xanmn_chr03_0880-xanmn_chr03_0880	1503	1260	84	100	1260	100.000	2273
fig|1185660.4.peg.1217	lcl|xanmn_chr03_0881-xanmn_chr03_0881	594	594	100	100	594	100.000	1072
fig|1185660.4.peg.1218	lcl|xanmn_chr03_0882-xanmn_chr03_0882	345	345	100	100	345	100.000	623
fig|1185660.4.peg.1219	lcl|xanmn_chr03_0884-xanmn_chr03_0884	516	516	100	100	516	100.000	931
fig|1185660.4.peg.1221	lcl|xanmn_chr03_0886-xanmn_chr03_0886	222	222	100	100	222	100.000	401
fig|1185660.4.peg.1222	lcl|lexA-xanmn_chr03_0887	606	576	95	100	576	100.000	1040
fig|1185660.4.peg.1223	lcl|xanmn_chr03_0888-xanmn_chr03_0888	654	654	100	100	654	100.000	1180
fig|1185660.4.peg.1224	lcl|xanmn_chr03_0889-xanmn_chr03_0889	1419	1419	100	100	1419	100.000	2560
fig|1185660.4.peg.1225	lcl|xanmn_chr03_0890-xanmn_chr03_0890	144	129	90	100	129	100.000	233
fig|1185660.4.peg.1226	lcl|dnaE1-xanmn_chr03_0891	3252	3252	100	100	3252	100.000	5865
fig|1185660.4.peg.1228	lcl|xanmn_chr03_0892-xanmn_chr03_0892	879	819	93	100	819	100.000	1478
fig|1185660.4.peg.1230	lcl|xanmn_chr03_0894-xanmn_chr03_0894	1971	1971	100	100	1971	100.000	3555
fig|1185660.4.peg.1231	lcl|xanmn_chr03_0896-xanmn_chr03_0896	837	837	100	100	837	100.000	1510
fig|1185660.4.peg.1233	lcl|xanmn_chr03_0897-xanmn_chr03_0897	2193	2121	97	100	2121	100.000	3826
fig|1185660.4.peg.1234	lcl|xanmn_chr03_0899-xanmn_chr03_0899	408	408	100	100	408	100.000	737
fig|1185660.4.peg.1237	lcl|xanmn_chr03_0900-xanmn_chr03_0900	768	768	100	100	768	100.000	1386
fig|1185660.4.peg.1238	lcl|xanmn_chr03_0902-xanmn_chr03_0902	360	579	100	62	360	100.000	650
fig|1185660.4.peg.1240	lcl|xanmn_chr03_0050-xanmn_chr03_0050	225	306	100	74	225	100.000	407
fig|1185660.4.peg.1241	lcl|xanmn_chr03_0051-xanmn_chr03_0051	906	906	100	100	906	100.000	1635
fig|1185660.4.peg.1244	lcl|HpaF-xanmn_chr03_0052	1644	1644	100	100	1644	100.000	2966
fig|1185660.4.peg.1246	lcl|hrpF-xanmn_chr03_0053	2331	2460	100	95	2331	100.000	4204
fig|1185660.4.peg.1247	lcl|Hpa3-xanmn_chr03_0056	447	447	100	100	447	100.000	807
fig|1185660.4.peg.1250	lcl|hpaB-xanmn_chr03_5025	471	471	100	100	471	100.000	850
fig|1185660.4.peg.1251	lcl|hrpE-xanmn_chr03_0060	282	282	100	100	282	100.000	509
fig|1185660.4.peg.1252	lcl|hrpD6-xanmn_chr03_0061	243	243	100	100	243	100.000	439
fig|1185660.4.peg.1253	lcl|hrcD-xanmn_chr03_0062	939	939	100	100	939	100.000	1694
fig|1185660.4.peg.1254	lcl|hpaA-xanmn_chr03_5026	828	828	100	100	828	100.000	1494
fig|1185660.4.peg.1255	lcl|hrcS-xanmn_chr03_0063	243	261	100	93	243	100.000	439
fig|1185660.4.peg.1256	lcl|hrcR-xanmn_chr03_0064	645	645	100	100	645	100.000	1164
fig|1185660.4.peg.1257	lcl|hrcQ-xanmn_chr03_0065	954	915	96	100	915	100.000	1651
fig|1185660.4.peg.1258	lcl|hpaC-xanmn_chr03_5027	615	639	100	96	615	100.000	1110
fig|1185660.4.peg.1259	lcl|hrcV-xanmn_chr03_0066	1923	1923	100	100	1923	100.000	3469
fig|1185660.4.peg.1260	lcl|hrcU-xanmn_chr03_0067	1074	1074	100	100	1074	100.000	1938
fig|1185660.4.peg.1261	lcl|hrpB1-xanmn_chr03_0068	426	456	100	93	426	100.000	769
fig|1185660.4.peg.1262	lcl|HrpB2-xanmn_chr03_0069	393	393	100	100	393	100.000	710
fig|1185660.4.peg.1263	lcl|hrcJ-xanmn_chr03_0070	762	762	100	100	762	100.000	1375
fig|1185660.4.peg.1264	lcl|hrpB4-xanmn_chr03_5028	630	630	100	100	630	100.000	1137
fig|1185660.4.peg.1265	lcl|xanmn_chr03_0071-xanmn_chr03_0071	702	702	100	100	702	100.000	1267
fig|1185660.4.peg.1266	lcl|hrcN-xanmn_chr03_0072	1329	1329	100	100	1329	100.000	2397
fig|1185660.4.peg.1267	lcl|hrpB7-xanmn_chr03_0073	510	510	100	100	510	100.000	921
fig|1185660.4.peg.1268	lcl|hrcT-xanmn_chr03_0074	831	831	100	100	831	100.000	1499
fig|1185660.4.peg.1269	lcl|hrcC-xanmn_chr03_0075	1782	1824	100	98	1782	100.000	3214
fig|1185660.4.peg.1270	lcl|hpa1-xanmn_chr03_0076	429	429	100	100	429	100.000	774
fig|1185660.4.peg.1272	lcl|Hpa2-xanmn_chr03_0077	339	564	100	60	339	100.000	612
fig|1185660.4.peg.1274	lcl|xanmn_chr03_0080-xanmn_chr03_0080	342	342	100	100	342	100.000	618
fig|1185660.4.peg.1275	lcl|xanmn_chr03_0081-xanmn_chr03_0081	2664	2424	91	100	2424	100.000	4372
fig|1185660.4.peg.1276	lcl|opgB-xanmn_chr03_0082	2100	2109	100	99	2100	100.000	3788
fig|1185660.4.peg.1278	lcl|xanmn_chr03_0084-xanmn_chr03_0084	1719	1713	99	100	1713	100.000	3090
fig|1185660.4.peg.1279	lcl|xanmn_chr03_0086-xanmn_chr03_0086	1158	942	81	100	942	100.000	1700
